Frequency (Hz)	Level (dB)
0.976562	-114.933487
1.953125	-108.400612
2.929688	-103.422462
3.906250	-99.191055
4.882812	-98.809265
5.859375	-93.928223
6.835938	-91.395042
7.812500	-95.398155
8.789062	-95.642593
9.765625	-92.019707
10.742188	-89.246201
11.718750	-87.746368
12.695312	-86.232491
13.671875	-85.391273
14.648438	-87.095093
15.625000	-87.057770
16.601562	-85.114594
17.578125	-85.159348
18.554688	-84.088646
19.531250	-84.114326
20.507812	-82.950256
21.484375	-83.083748
22.460938	-84.794106
23.437500	-83.013985
24.414062	-83.997467
25.390625	-84.042213
26.367188	-80.889214
27.343750	-81.741539
28.320312	-80.904724
29.296875	-81.922119
30.273438	-82.757553
31.250000	-82.415909
32.226562	-84.211967
33.203125	-83.370621
34.179688	-82.644859
35.156250	-84.056862
36.132812	-84.432716
37.109375	-84.216019
38.085938	-83.014542
39.062500	-83.554543
40.039062	-82.794060
41.015625	-81.199402
41.992188	-79.779724
42.968750	-81.538887
43.945312	-85.148300
44.921875	-83.379822
45.898438	-81.252632
46.875000	-80.567635
47.851562	-80.010712
48.828125	-81.924652
49.804688	-82.051987
50.781250	-81.328682
51.757812	-79.505264
52.734375	-77.848724
53.710938	-77.048393
54.687500	-77.958969
55.664062	-78.443878
56.640625	-78.606071
57.617188	-76.522186
58.593750	-76.575600
59.570312	-77.249458
60.546875	-76.629402
61.523438	-75.390427
62.500000	-76.957642
63.476562	-77.172012
64.453125	-76.740845
65.429688	-78.330139
66.406250	-79.275284
67.382812	-79.813774
68.359375	-79.878021
69.335938	-77.833824
70.312500	-78.152412
71.289062	-78.744881
72.265625	-79.023682
73.242188	-78.922470
74.218750	-78.185333
75.195312	-78.889671
76.171875	-79.824768
77.148438	-77.627159
78.125000	-79.426880
79.101562	-80.329720
80.078125	-79.493431
81.054688	-79.051743
82.031250	-78.984344
83.007812	-80.759796
83.984375	-77.330276
84.960938	-75.978241
85.937500	-76.811035
86.914062	-78.493248
87.890625	-79.372894
88.867188	-81.649704
89.843750	-79.978584
90.820312	-78.393974
91.796875	-79.785713
92.773438	-78.074234
93.750000	-78.173508
94.726562	-77.911011
95.703125	-77.139359
96.679688	-77.193901
97.656250	-78.081757
98.632812	-78.135941
99.609375	-78.414268
100.585938	-79.076897
101.562500	-80.648178
102.539062	-79.677765
103.515625	-79.586975
104.492188	-78.497490
105.468750	-80.388931
106.445312	-78.870621
107.421875	-77.257095
108.398438	-78.439491
109.375000	-79.415321
110.351562	-78.912231
111.328125	-75.710884
112.304688	-76.074760
113.281250	-79.309608
114.257812	-77.028137
115.234375	-76.616913
116.210938	-76.710747
117.187500	-77.533997
118.164062	-75.057610
119.140625	-72.475258
120.117188	-68.954521
121.093750	-71.955101
122.070312	-75.411560
123.046875	-79.091255
124.023438	-77.145355
125.000000	-77.497070
125.976562	-77.244385
126.953125	-76.873772
127.929688	-76.582428
128.906250	-76.154289
129.882812	-77.791206
130.859375	-75.602119
131.835938	-78.076050
132.812500	-80.546509
133.789062	-76.734879
134.765625	-77.875107
135.742188	-77.298271
136.718750	-76.107185
137.695312	-77.079163
138.671875	-76.257675
139.648438	-76.150589
140.625000	-76.663147
141.601562	-76.324219
142.578125	-75.579216
143.554688	-76.421394
144.531250	-74.768799
145.507812	-74.531517
146.484375	-75.621841
147.460938	-75.400345
148.437500	-76.235535
149.414062	-77.576782
150.390625	-76.348183
151.367188	-75.453651
152.343750	-74.296402
153.320312	-76.004662
154.296875	-75.522606
155.273438	-76.442162
156.250000	-76.883209
157.226562	-76.104797
158.203125	-75.645164
159.179688	-74.858002
160.156250	-74.186005
161.132812	-78.008446
162.109375	-79.854744
163.085938	-75.808098
164.062500	-75.020882
165.039062	-77.349884
166.015625	-76.259811
166.992188	-75.695374
167.968750	-76.430046
168.945312	-75.465645
169.921875	-75.648506
170.898438	-75.211449
171.875000	-74.189003
172.851562	-76.675179
173.828125	-76.212631
174.804688	-75.380020
175.781250	-76.112984
176.757812	-77.154861
177.734375	-76.188889
178.710938	-76.673134
179.687500	-76.645378
180.664062	-75.966972
181.640625	-74.858795
182.617188	-76.050018
183.593750	-73.098480
184.570312	-74.166557
185.546875	-76.651505
186.523438	-73.501900
187.500000	-72.785423
188.476562	-75.034447
189.453125	-77.097244
190.429688	-76.011024
191.406250	-75.234467
192.382812	-74.640549
193.359375	-75.122574
194.335938	-75.206985
195.312500	-72.444077
196.289062	-70.744934
197.265625	-72.369133
198.242188	-72.096825
199.218750	-71.633636
200.195312	-70.657173
201.171875	-71.783707
202.148438	-71.299583
203.125000	-72.549072
204.101562	-71.504410
205.078125	-72.502991
