Frequency (Hz)	Level (dB)
3.906250	-54.250542
7.812500	-52.838383
11.718750	-47.949692
15.625000	-39.378410
19.531250	-45.114971
23.437500	-44.050377
27.343750	-39.520344
31.250000	-34.952938
35.156250	-32.945763
39.062500	-36.832386
42.968750	-40.720963
46.875000	-42.405914
50.781250	-41.347527
54.687500	-40.385754
58.593750	-40.947071
62.500000	-41.791317
66.406250	-42.183571
70.312500	-42.207207
74.218750	-41.447746
78.125000	-41.754730
82.031250	-41.013859
85.937500	-40.994827
89.843750	-40.890892
93.750000	-40.009312
97.656250	-40.303707
101.562500	-39.836964
105.468750	-39.713894
109.375000	-40.189209
113.281250	-39.894222
117.187500	-39.247581
121.093750	-39.675148
125.000000	-38.299873
128.906250	-38.713654
132.812500	-38.573624
136.718750	-38.263935
140.625000	-38.937534
144.531250	-38.790146
148.437500	-38.309849
152.343750	-38.285030
156.250000	-38.209766
160.156250	-38.028645
164.062500	-38.070038
167.968750	-37.793716
171.875000	-36.931232
175.781250	-37.681137
179.687500	-37.109406
183.593750	-37.143051
187.500000	-36.773582
191.406250	-36.762207
195.312500	-36.542843
199.218750	-36.070232
203.125000	-36.428123
207.031250	-36.427063
210.937500	-36.826172
214.843750	-36.346642
218.750000	-36.637177
222.656250	-36.539623
226.562500	-35.896690
230.468750	-35.394421
234.375000	-35.764729
238.281250	-36.493412
242.187500	-36.800060
246.093750	-35.640747
250.000000	-35.552715
253.906250	-35.237286
257.812500	-35.197166
261.718750	-35.055847
265.625000	-35.159863
269.531250	-35.432705
273.437500	-36.183582
277.343750	-36.409290
281.250000	-36.482063
285.156250	-36.177311
289.062500	-36.109360
292.968750	-35.865269
296.875000	-35.858112
300.781250	-36.286037
304.687500	-36.604259
308.593750	-36.159370
312.500000	-36.663452
316.406250	-36.520042
320.312500	-37.044075
324.218750	-36.474255
328.125000	-36.400635
332.031250	-36.636379
335.937500	-36.594841
339.843750	-36.774162
343.750000	-37.193310
347.656250	-37.834583
351.562500	-37.923050
355.468750	-37.379520
359.375000	-36.646564
363.281250	-37.443306
367.187500	-37.522549
371.093750	-37.477188
375.000000	-37.610092
378.906250	-37.271408
382.812500	-37.581333
386.718750	-37.823700
390.625000	-37.492027
394.531250	-37.730579
398.437500	-37.495312
402.343750	-37.812263
406.250000	-38.408043
410.156250	-38.290100
414.062500	-37.703239
417.968750	-37.694504
421.875000	-38.707928
425.781250	-38.474045
429.687500	-38.354591
433.593750	-38.972469
437.500000	-38.637608
441.406250	-38.616150
445.312500	-39.243336
449.218750	-38.584167
453.125000	-38.537144
457.031250	-39.358559
460.937500	-38.646866
464.843750	-39.004787
468.750000	-38.292797
472.656250	-38.523445
476.562500	-38.257298
480.468750	-39.008305
484.375000	-38.780727
488.281250	-39.128510
492.187500	-38.852737
496.093750	-39.723694
500.000000	-39.142143
503.906250	-39.249355
507.812500	-39.332245
511.718750	-39.451084
515.625000	-38.358219
519.531250	-38.712250
523.437500	-38.669106
527.343750	-38.403740
531.250000	-38.312157
535.156250	-38.392899
539.062500	-38.913330
542.968750	-39.041241
546.875000	-39.289444
550.781250	-39.984993
554.687500	-40.488708
558.593750	-40.365486
562.500000	-40.128727
566.406250	-40.190197
570.312500	-40.172089
574.218750	-40.488491
578.125000	-40.169456
582.031250	-40.474518
585.937500	-40.585037
589.843750	-40.661354
593.750000	-40.935207
597.656250	-40.909275
601.562500	-41.003059
605.468750	-40.907829
609.375000	-41.110435
613.281250	-41.266769
617.187500	-41.008327
621.093750	-41.672428
625.000000	-41.119946
628.906250	-40.898384
632.812500	-41.258194
636.718750	-41.133850
640.625000	-41.313656
644.531250	-41.859661
648.437500	-41.390869
652.343750	-41.750427
656.250000	-41.257942
660.156250	-42.125748
664.062500	-41.489349
667.968750	-41.835869
671.875000	-41.897995
675.781250	-41.583355
679.687500	-42.190495
683.593750	-42.030487
687.500000	-42.346550
691.406250	-41.875549
695.312500	-42.281231
699.218750	-42.172752
703.125000	-42.391724
707.031250	-42.879303
710.937500	-42.305344
714.843750	-43.095222
718.750000	-43.004810
722.656250	-42.599689
726.562500	-42.972076
730.468750	-42.824001
734.375000	-42.601742
738.281250	-43.024479
742.187500	-43.250656
746.093750	-43.099911
750.000000	-42.935978
753.906250	-43.790955
757.812500	-43.170971
761.718750	-43.395039
765.625000	-43.561943
769.531250	-42.771751
773.437500	-43.419029
777.343750	-43.707520
781.250000	-43.319359
785.156250	-42.488594
789.062500	-42.440716
792.968750	-41.876675
796.875000	-42.921429
800.781250	-42.731701
804.687500	-43.271282
808.593750	-43.638462
812.500000	-43.800293
816.406250	-43.853992
820.312500	-44.138458
824.218750	-43.844757
828.125000	-44.721199
832.031250	-44.631298
835.937500	-44.760052
839.843750	-44.607948
843.750000	-45.203419
847.656250	-44.989048
851.562500	-44.896027
855.468750	-45.430454
859.375000	-45.926281
863.281250	-45.269272
867.187500	-45.024010
871.093750	-45.921097
875.000000	-45.449471
878.906250	-45.812355
882.812500	-46.333057
886.718750	-46.032074
890.625000	-44.898159
894.531250	-45.359203
898.437500	-46.045776
902.343750	-46.033051
906.250000	-45.793629
910.156250	-45.899467
914.062500	-46.570343
917.968750	-47.047371
921.875000	-46.210228
925.781250	-46.874516
929.687500	-46.287094
933.593750	-46.539593
937.500000	-46.801514
941.406250	-47.244484
945.312500	-47.274040
949.218750	-46.487537
953.125000	-46.803871
957.031250	-47.376495
960.937500	-47.158745
964.843750	-47.097767
968.750000	-47.100143
972.656250	-47.415665
976.562500	-47.257690
980.468750	-47.055309
984.375000	-47.908356
988.281250	-47.750538
992.187500	-47.924652
996.093750	-47.844982
1000.000000	-47.541252
1003.906250	-48.250835
1007.812500	-47.676941
1011.718750	-47.402740
1015.625000	-47.918709
1019.531250	-48.635048
1023.437500	-48.365486
1027.343750	-48.974537
1031.250000	-48.366882
1035.156250	-47.728451
1039.062500	-48.076965
1042.968750	-47.271458
1046.875000	-46.148819
1050.781250	-46.529888
1054.687500	-45.551712
1058.593750	-45.172047
1062.500000	-45.214268
1066.406250	-45.530888
1070.312500	-45.189507
1074.218750	-45.179554
1078.125000	-46.348804
1082.031250	-46.712627
1085.937500	-47.510582
1089.843750	-47.214752
1093.750000	-48.354404
1097.656250	-48.435020
1101.562500	-48.564270
1105.468750	-49.005737
1109.375000	-49.010155
1113.281250	-49.281986
1117.187500	-50.213066
1121.093750	-49.917618
1125.000000	-50.133858
1128.906250	-50.515011
1132.812500	-50.557106
1136.718750	-50.428326
1140.625000	-51.058174
1144.531250	-50.915001
1148.437500	-50.597065
1152.343750	-51.044857
1156.250000	-51.384769
1160.156250	-51.743160
1164.062500	-51.350254
1167.968750	-51.869812
1171.875000	-52.066189
1175.781250	-51.851051
1179.687500	-51.685108
1183.593750	-52.345295
1187.500000	-52.075195
1191.406250	-51.910500
1195.312500	-52.453430
1199.218750	-52.244450
1203.125000	-52.010353
1207.031250	-52.583004
1210.937500	-52.494087
1214.843750	-52.806530
1218.750000	-52.777092
1222.656250	-52.766945
1226.562500	-52.678165
1230.468750	-53.189217
1234.375000	-52.856586
1238.281250	-53.385693
1242.187500	-53.322674
1246.093750	-53.285557
1250.000000	-53.054760
1253.906250	-53.335060
1257.812500	-52.878880
1261.718750	-53.149628
1265.625000	-53.513733
1269.531250	-53.234104
1273.437500	-53.114662
1277.343750	-53.586086
1281.250000	-53.739841
1285.156250	-53.158356
1289.062500	-53.069904
1292.968750	-52.872864
1296.875000	-52.871395
1300.781250	-52.956352
1304.687500	-52.598858
1308.593750	-51.702785
1312.500000	-51.200294
1316.406250	-50.411240
1320.312500	-49.962891
1324.218750	-49.733658
1328.125000	-49.233097
1332.031250	-50.310127
1335.937500	-50.941425
1339.843750	-51.873646
1343.750000	-52.011959
1347.656250	-52.299271
1351.562500	-53.242775
1355.468750	-53.406677
1359.375000	-53.799221
1363.281250	-54.364777
1367.187500	-54.258057
1371.093750	-54.536358
1375.000000	-55.454853
1378.906250	-55.103874
1382.812500	-55.291424
1386.718750	-55.250977
1390.625000	-55.024353
1394.531250	-55.852127
1398.437500	-56.114323
1402.343750	-55.675770
1406.250000	-55.680141
1410.156250	-56.274837
1414.062500	-56.012146
1417.968750	-56.144909
1421.875000	-56.595818
1425.781250	-56.333038
1429.687500	-56.563789
1433.593750	-56.688690
1437.500000	-56.874844
1441.406250	-56.990993
1445.312500	-56.512260
1449.218750	-57.509724
1453.125000	-56.521450
1457.031250	-56.725376
1460.937500	-57.240437
1464.843750	-57.684673
1468.750000	-57.819534
1472.656250	-57.805237
1476.562500	-57.870586
1480.468750	-57.531940
1484.375000	-57.059883
1488.281250	-57.200123
1492.187500	-57.764328
1496.093750	-57.815441
1500.000000	-58.060722
1503.906250	-57.986385
1507.812500	-57.713982
1511.718750	-57.804050
1515.625000	-58.133770
1519.531250	-58.015415
1523.437500	-58.404850
1527.343750	-57.885059
1531.250000	-57.511906
1535.156250	-57.941750
1539.062500	-57.832172
1542.968750	-57.561138
1546.875000	-57.130638
1550.781250	-57.670048
1554.687500	-56.678982
1558.593750	-55.850613
1562.500000	-55.356281
1566.406250	-55.173443
1570.312500	-54.841484
1574.218750	-53.657913
1578.125000	-53.497181
1582.031250	-52.292446
1585.937500	-51.326172
1589.843750	-50.623066
1593.750000	-50.744389
1597.656250	-50.752380
1601.562500	-51.213459
1605.468750	-51.599346
1609.375000	-53.106869
1613.281250	-53.829216
1617.187500	-54.576336
1621.093750	-55.810005
1625.000000	-56.319664
1628.906250	-56.668884
1632.812500	-56.854549
1636.718750	-57.664757
1640.625000	-57.321220
1644.531250	-57.636330
1648.437500	-59.218014
1652.343750	-59.128033
1656.250000	-58.153698
1660.156250	-58.565014
1664.062500	-59.089993
1667.968750	-58.875000
1671.875000	-59.497437
1675.781250	-60.293102
1679.687500	-60.175133
1683.593750	-60.026855
1687.500000	-59.620926
1691.406250	-60.436363
1695.312500	-60.148685
1699.218750	-60.402687
1703.125000	-60.922985
1707.031250	-60.812199
1710.937500	-61.159554
1714.843750	-61.192890
1718.750000	-61.166969
1722.656250	-61.171059
1726.562500	-60.179092
1730.468750	-60.741730
1734.375000	-61.495674
1738.281250	-61.074036
1742.187500	-60.693508
1746.093750	-60.951508
1750.000000	-60.494633
1753.906250	-60.901627
1757.812500	-61.288063
1761.718750	-61.024170
1765.625000	-60.980350
1769.531250	-61.368896
1773.437500	-60.887726
1777.343750	-61.352818
1781.250000	-61.527134
1785.156250	-59.873665
1789.062500	-59.728851
1792.968750	-59.698582
1796.875000	-59.220264
1800.781250	-58.806206
1804.687500	-58.884979
1808.593750	-57.936630
1812.500000	-57.954407
1816.406250	-56.595268
1820.312500	-56.613358
1824.218750	-55.465130
1828.125000	-54.472794
1832.031250	-54.249847
1835.937500	-53.626488
1839.843750	-52.623512
1843.750000	-51.129803
1847.656250	-51.195068
1851.562500	-50.204140
1855.468750	-48.686882
1859.375000	-48.320900
1863.281250	-48.836071
1867.187500	-48.904888
1871.093750	-50.002731
1875.000000	-50.666000
1878.906250	-51.633717
1882.812500	-52.845905
1886.718750	-53.895618
1890.625000	-53.581203
1894.531250	-54.847675
1898.437500	-55.646244
1902.343750	-56.412689
1906.250000	-56.613255
1910.156250	-56.910194
1914.062500	-57.540260
1917.968750	-58.278088
1921.875000	-58.451607
1925.781250	-59.265816
1929.687500	-58.937740
1933.593750	-59.535496
1937.500000	-59.879967
1941.406250	-59.912346
