Frequency (Hz)	Level (dB)
0.976562	-116.383636
1.953125	-111.033348
2.929688	-103.857658
3.906250	-99.711311
4.882812	-98.772949
5.859375	-95.056503
6.835938	-94.007126
7.812500	-94.538986
8.789062	-94.882767
9.765625	-91.932335
10.742188	-89.003036
11.718750	-87.535866
12.695312	-86.573738
13.671875	-86.830452
14.648438	-88.271980
15.625000	-86.919670
16.601562	-86.296043
17.578125	-86.708855
18.554688	-84.639404
19.531250	-85.547951
20.507812	-85.889771
21.484375	-83.723526
22.460938	-82.671867
23.437500	-81.032036
24.414062	-82.004860
25.390625	-82.032845
26.367188	-81.373314
27.343750	-81.308823
28.320312	-82.233406
29.296875	-83.134735
30.273438	-83.435150
31.250000	-83.728859
32.226562	-83.862686
33.203125	-83.701431
34.179688	-83.376213
35.156250	-82.892746
36.132812	-83.450569
37.109375	-83.934174
38.085938	-84.787819
39.062500	-83.749199
40.039062	-82.861023
41.015625	-82.670448
41.992188	-82.276642
42.968750	-82.491875
43.945312	-82.266151
44.921875	-82.392120
45.898438	-81.804131
46.875000	-81.041656
47.851562	-81.441185
48.828125	-81.926025
49.804688	-79.901421
50.781250	-79.488495
51.757812	-80.197670
52.734375	-79.762985
53.710938	-78.272972
54.687500	-79.430565
55.664062	-79.665375
56.640625	-78.774887
57.617188	-77.766716
58.593750	-76.647392
59.570312	-78.478096
60.546875	-77.828018
61.523438	-77.132576
62.500000	-77.436462
63.476562	-76.212212
64.453125	-78.232948
65.429688	-79.491844
66.406250	-79.587708
67.382812	-78.624153
68.359375	-78.785057
69.335938	-79.100662
70.312500	-78.258385
71.289062	-77.896179
72.265625	-78.501152
73.242188	-77.100136
74.218750	-76.165451
75.195312	-77.154434
76.171875	-78.130402
77.148438	-79.517044
78.125000	-79.877350
79.101562	-79.519547
80.078125	-78.400642
81.054688	-78.675987
82.031250	-80.022011
83.007812	-79.199562
83.984375	-78.821953
84.960938	-78.349922
85.937500	-78.242363
86.914062	-79.063393
87.890625	-77.729126
88.867188	-77.758789
89.843750	-78.165810
90.820312	-77.850334
91.796875	-78.750755
92.773438	-78.721703
93.750000	-77.485611
94.726562	-78.366158
95.703125	-78.192299
96.679688	-77.286613
97.656250	-77.914612
98.632812	-77.605507
99.609375	-77.737640
100.585938	-77.361832
101.562500	-77.690346
102.539062	-77.270973
103.515625	-78.100693
104.492188	-78.378685
105.468750	-78.400490
106.445312	-78.130989
107.421875	-76.874611
108.398438	-76.710045
109.375000	-79.061623
110.351562	-78.304962
111.328125	-76.928978
112.304688	-76.377853
113.281250	-76.694832
114.257812	-76.310745
115.234375	-76.359787
116.210938	-75.740479
117.187500	-75.138596
118.164062	-72.439926
119.140625	-68.840981
120.117188	-66.201202
121.093750	-69.103714
122.070312	-71.830864
123.046875	-74.921928
124.023438	-77.647804
125.000000	-78.729652
125.976562	-76.955009
126.953125	-75.390823
127.929688	-75.400162
128.906250	-75.800781
129.882812	-76.675285
130.859375	-76.070274
131.835938	-77.263214
132.812500	-77.063377
133.789062	-76.075386
134.765625	-75.688812
135.742188	-75.294449
136.718750	-74.165855
137.695312	-74.927971
138.671875	-75.569382
139.648438	-74.510818
140.625000	-74.353096
141.601562	-74.640388
142.578125	-73.541687
143.554688	-73.082321
144.531250	-73.404343
145.507812	-73.196991
146.484375	-73.253494
147.460938	-73.484665
148.437500	-73.233780
149.414062	-74.545357
150.390625	-74.174759
151.367188	-72.259003
152.343750	-73.054306
153.320312	-72.917664
154.296875	-73.396492
155.273438	-72.991058
156.250000	-73.672920
157.226562	-74.533043
158.203125	-73.028076
159.179688	-71.856720
160.156250	-71.595566
161.132812	-73.950249
162.109375	-75.372437
163.085938	-73.408806
164.062500	-72.277130
165.039062	-72.777817
166.015625	-72.685204
166.992188	-72.724251
167.968750	-73.427345
168.945312	-72.260994
169.921875	-72.889633
170.898438	-71.942680
171.875000	-71.542931
