Frequency (Hz)	Level (dB)
0.976562	-115.839661
1.953125	-109.730293
2.929688	-103.400551
3.906250	-99.992592
4.882812	-100.675598
5.859375	-97.886917
6.835938	-96.635109
7.812500	-97.299576
8.789062	-95.337830
9.765625	-93.172829
10.742188	-89.610741
11.718750	-88.287750
12.695312	-86.852203
13.671875	-87.642090
14.648438	-89.045341
15.625000	-87.649979
16.601562	-87.640228
17.578125	-86.895523
18.554688	-85.190033
19.531250	-86.060501
20.507812	-84.180084
21.484375	-82.176155
22.460938	-83.163345
23.437500	-82.612625
24.414062	-81.708794
25.390625	-84.186974
26.367188	-83.143501
27.343750	-81.965607
28.320312	-83.683556
29.296875	-82.129250
30.273438	-81.959854
31.250000	-82.479614
32.226562	-83.304909
33.203125	-83.285583
34.179688	-83.761932
35.156250	-83.164848
36.132812	-84.060822
37.109375	-83.610703
38.085938	-84.305946
39.062500	-83.316765
40.039062	-83.009644
41.015625	-82.596977
41.992188	-81.812897
42.968750	-83.583275
43.945312	-83.398018
44.921875	-82.086464
45.898438	-83.039352
46.875000	-82.477730
47.851562	-81.577309
48.828125	-82.377228
49.804688	-81.362808
50.781250	-80.557411
51.757812	-79.642662
52.734375	-79.779526
53.710938	-79.888824
54.687500	-78.898514
55.664062	-79.419250
56.640625	-78.854904
57.617188	-78.567978
58.593750	-79.226387
59.570312	-78.078506
60.546875	-75.724113
61.523438	-75.821701
62.500000	-76.935684
63.476562	-77.954971
64.453125	-79.592735
65.429688	-79.887016
66.406250	-80.774109
67.382812	-80.171379
68.359375	-80.058121
69.335938	-79.430168
70.312500	-78.938522
71.289062	-79.719780
72.265625	-80.536217
73.242188	-80.031296
74.218750	-79.097389
75.195312	-79.375473
76.171875	-78.920952
77.148438	-78.851089
78.125000	-80.880173
79.101562	-81.104668
80.078125	-81.094383
81.054688	-80.653282
82.031250	-81.505424
83.007812	-80.481285
83.984375	-79.368294
84.960938	-79.065353
85.937500	-79.011688
86.914062	-80.865120
87.890625	-81.112915
88.867188	-80.603127
89.843750	-80.327919
90.820312	-79.194420
91.796875	-79.573242
92.773438	-79.819885
93.750000	-79.899292
94.726562	-80.759399
95.703125	-80.155800
96.679688	-79.337448
97.656250	-80.033371
98.632812	-80.033371
99.609375	-80.809402
100.585938	-80.412910
101.562500	-80.179428
102.539062	-80.658653
103.515625	-80.734116
104.492188	-80.250458
105.468750	-80.114326
106.445312	-80.713646
107.421875	-79.696510
108.398438	-79.624710
109.375000	-81.737938
110.351562	-80.876274
111.328125	-78.801582
112.304688	-79.175659
113.281250	-79.276161
114.257812	-78.999794
115.234375	-78.919250
116.210938	-78.359993
