Frequency (Hz)	Level (dB)
0.976562	-117.820244
1.953125	-110.029671
2.929688	-102.573456
3.906250	-98.568779
4.882812	-98.786476
5.859375	-96.575287
6.835938	-94.177246
7.812500	-95.744553
8.789062	-94.699188
9.765625	-91.270752
10.742188	-88.850174
11.718750	-88.754173
12.695312	-88.478516
13.671875	-87.637138
14.648438	-89.648483
15.625000	-87.662338
16.601562	-86.207695
17.578125	-86.003624
18.554688	-84.090591
19.531250	-85.721169
20.507812	-85.271027
21.484375	-84.639603
22.460938	-84.271317
23.437500	-82.510612
24.414062	-82.680618
25.390625	-83.353180
26.367188	-82.547340
27.343750	-84.499771
28.320312	-84.137436
29.296875	-81.448479
30.273438	-82.373642
31.250000	-84.648277
32.226562	-84.207695
33.203125	-84.881241
34.179688	-83.942619
35.156250	-81.646545
36.132812	-82.643677
37.109375	-82.904083
38.085938	-83.246407
39.062500	-82.875542
40.039062	-81.539909
41.015625	-81.595642
41.992188	-82.902000
42.968750	-82.501335
43.945312	-81.192566
44.921875	-80.506195
45.898438	-81.596527
46.875000	-82.408264
47.851562	-82.545837
48.828125	-80.685516
49.804688	-80.075958
50.781250	-80.165062
51.757812	-80.006401
52.734375	-78.186760
53.710938	-77.878052
54.687500	-78.114441
55.664062	-77.783913
56.640625	-75.751747
57.617188	-76.062103
58.593750	-77.397285
59.570312	-76.134766
60.546875	-74.351974
61.523438	-74.551353
62.500000	-74.878326
63.476562	-74.835732
64.453125	-77.492729
65.429688	-79.249046
66.406250	-79.183540
67.382812	-79.810310
68.359375	-78.985031
69.335938	-78.087944
70.312500	-77.130562
71.289062	-76.320351
72.265625	-77.488815
73.242188	-76.622597
74.218750	-76.566109
75.195312	-77.146599
76.171875	-78.733131
77.148438	-79.209732
78.125000	-79.894714
79.101562	-80.266556
80.078125	-79.918228
81.054688	-80.312271
82.031250	-80.551743
83.007812	-81.749443
83.984375	-80.176445
84.960938	-79.553329
85.937500	-78.507523
86.914062	-77.608620
87.890625	-78.563454
88.867188	-80.591125
89.843750	-79.719818
90.820312	-79.283562
91.796875	-79.746941
92.773438	-80.958061
93.750000	-80.879875
94.726562	-81.392799
95.703125	-80.611862
96.679688	-79.760376
97.656250	-80.577682
98.632812	-80.027664
99.609375	-80.049187
100.585938	-80.068504
101.562500	-80.963371
102.539062	-80.684364
103.515625	-80.610146
104.492188	-80.496582
105.468750	-80.414986
106.445312	-80.377197
107.421875	-79.773575
108.398438	-80.888100
109.375000	-82.275719
110.351562	-81.164215
111.328125	-80.905930
112.304688	-80.725677
113.281250	-78.935127
114.257812	-78.875687
115.234375	-80.613281
116.210938	-80.607460
117.187500	-80.548668
118.164062	-79.910400
119.140625	-81.249352
120.117188	-81.314827
121.093750	-80.978088
122.070312	-81.564865
123.046875	-81.092781
124.023438	-81.097580
125.000000	-81.995255
125.976562	-81.834473
126.953125	-80.025635
127.929688	-80.499802
128.906250	-81.628716
129.882812	-81.020416
130.859375	-81.783775
131.835938	-82.214394
132.812500	-81.848061
133.789062	-81.215546
134.765625	-80.764206
135.742188	-81.185425
136.718750	-80.629829
137.695312	-81.221611
138.671875	-81.843819
139.648438	-81.597374
140.625000	-81.967903
141.601562	-81.883774
