Frequency (Hz)	Level (dB)
7.812500	-43.906815
15.625000	-37.933777
23.437500	-33.017262
31.250000	-31.323853
39.062500	-32.158875
46.875000	-33.692394
54.687500	-35.545883
62.500000	-37.308144
70.312500	-38.769375
78.125000	-40.776752
85.937500	-42.130234
93.750000	-44.501644
101.562500	-46.428173
109.375000	-47.127747
117.187500	-48.208313
125.000000	-48.809891
132.812500	-50.162987
140.625000	-50.886280
148.437500	-52.036186
156.250000	-52.878117
164.062500	-53.967754
171.875000	-54.601147
179.687500	-55.449463
187.500000	-56.196537
195.312500	-57.217915
203.125000	-57.820107
210.937500	-58.708939
218.750000	-59.316704
226.562500	-59.728031
234.375000	-60.112564
242.187500	-60.764618
250.000000	-61.268612
257.812500	-61.894764
265.625000	-62.108486
273.437500	-62.514729
281.250000	-63.030262
289.062500	-63.385494
296.875000	-63.514771
304.687500	-64.124489
312.500000	-64.650330
320.312500	-65.024513
328.125000	-65.148132
335.937500	-65.517464
343.750000	-66.022820
351.562500	-66.435738
359.375000	-66.533775
367.187500	-66.927391
375.000000	-67.086250
382.812500	-67.402504
390.625000	-67.683846
398.437500	-67.964401
406.250000	-68.085243
414.062500	-68.134926
421.875000	-67.968544
429.687500	-68.333885
437.500000	-68.535416
445.312500	-68.459908
453.125000	-68.581154
460.937500	-68.742508
468.750000	-68.867645
476.562500	-68.779579
484.375000	-68.741508
492.187500	-68.655556
500.000000	-68.581268
507.812500	-68.518204
515.625000	-68.421913
523.437500	-68.264458
531.250000	-68.195847
539.062500	-67.824165
546.875000	-68.018616
554.687500	-67.980751
562.500000	-67.908310
570.312500	-67.421082
578.125000	-67.768921
585.937500	-67.477295
593.750000	-67.340370
601.562500	-67.519463
609.375000	-67.236206
617.187500	-66.727783
625.000000	-67.038269
632.812500	-66.516472
640.625000	-66.468224
648.437500	-66.489815
656.250000	-66.071899
664.062500	-65.923561
671.875000	-65.480949
679.687500	-65.340218
687.500000	-64.758652
695.312500	-64.978127
703.125000	-64.297096
710.937500	-63.669510
718.750000	-63.899780
726.562500	-63.478748
734.375000	-62.569611
742.187500	-61.760803
750.000000	-61.460209
757.812500	-61.238533
765.625000	-60.520439
773.437500	-59.202362
781.250000	-58.777546
789.062500	-57.918209
796.875000	-57.153419
804.687500	-55.779995
812.500000	-55.535198
820.312500	-55.548626
828.125000	-55.635193
835.937500	-55.517460
843.750000	-56.388069
851.562500	-57.001835
859.375000	-58.742966
867.187500	-59.508987
875.000000	-60.011421
882.812500	-61.178539
890.625000	-62.222637
898.437500	-62.876163
906.250000	-63.391842
914.062500	-64.533073
921.875000	-64.628029
929.687500	-65.572273
937.500000	-66.107033
945.312500	-66.257713
953.125000	-66.517189
960.937500	-67.628151
968.750000	-67.849777
976.562500	-68.170036
984.375000	-68.188965
992.187500	-69.255829
1000.000000	-69.599586
1007.812500	-69.843246
1015.625000	-69.684380
1023.437500	-70.544914
1031.250000	-70.896950
1039.062500	-70.864281
1046.875000	-70.950645
1054.687500	-71.691261
1062.500000	-71.561028
1070.312500	-71.441437
1078.125000	-71.612320
1085.937500	-72.114357
