Frequency (Hz)	Level (dB)
0.976562	-116.586464
1.953125	-111.774864
2.929688	-105.305466
3.906250	-101.877747
4.882812	-102.456375
5.859375	-98.993332
6.835938	-97.638000
7.812500	-97.906723
8.789062	-96.579185
9.765625	-94.418076
10.742188	-91.998535
11.718750	-90.334381
12.695312	-88.643646
13.671875	-88.944260
14.648438	-90.142372
15.625000	-89.268280
16.601562	-88.363594
17.578125	-88.162651
18.554688	-87.855751
19.531250	-87.874123
20.507812	-89.140739
21.484375	-86.223892
22.460938	-83.876793
23.437500	-83.866943
24.414062	-84.960152
25.390625	-84.968796
26.367188	-84.543808
27.343750	-84.347183
28.320312	-85.771179
29.296875	-84.406769
30.273438	-83.993988
31.250000	-85.471962
32.226562	-87.464867
33.203125	-86.103424
34.179688	-84.613274
35.156250	-84.782005
36.132812	-83.951294
37.109375	-84.195335
38.085938	-84.427299
39.062500	-83.546692
40.039062	-83.653938
41.015625	-83.296181
41.992188	-83.253105
42.968750	-83.113037
43.945312	-84.180458
44.921875	-83.091873
45.898438	-82.339325
46.875000	-82.116852
47.851562	-82.750664
48.828125	-82.138756
49.804688	-82.391754
50.781250	-82.515984
51.757812	-81.347359
52.734375	-81.526947
53.710938	-81.422806
54.687500	-81.181900
55.664062	-80.245499
56.640625	-79.827187
57.617188	-80.345352
58.593750	-79.349686
59.570312	-78.020218
60.546875	-77.901131
61.523438	-76.970100
62.500000	-77.743210
63.476562	-78.791199
64.453125	-80.117371
65.429688	-80.921387
66.406250	-82.813652
67.382812	-82.718361
68.359375	-82.578285
69.335938	-82.008537
70.312500	-79.532967
71.289062	-79.780762
72.265625	-80.467697
73.242188	-80.329254
74.218750	-79.859497
75.195312	-80.044708
76.171875	-81.048790
77.148438	-80.423035
78.125000	-81.125175
79.101562	-82.384949
80.078125	-82.735092
81.054688	-82.869781
82.031250	-83.552162
83.007812	-83.408028
83.984375	-81.146507
84.960938	-82.040161
85.937500	-82.704407
86.914062	-81.219849
87.890625	-80.838280
88.867188	-81.297523
89.843750	-80.368927
90.820312	-80.907539
91.796875	-82.155800
92.773438	-81.674660
93.750000	-82.172882
94.726562	-82.140366
95.703125	-81.380585
96.679688	-81.598221
97.656250	-82.061478
98.632812	-80.953812
99.609375	-81.199593
100.585938	-81.048851
101.562500	-81.335876
102.539062	-81.263687
103.515625	-80.610016
104.492188	-80.982292
105.468750	-82.515991
106.445312	-83.038513
107.421875	-82.256111
108.398438	-81.346642
109.375000	-82.760910
110.351562	-82.194191
111.328125	-80.634209
112.304688	-80.097809
113.281250	-80.718422
114.257812	-79.604996
115.234375	-81.406166
116.210938	-81.895866
117.187500	-80.450073
118.164062	-80.807793
119.140625	-79.439720
120.117188	-77.958572
121.093750	-80.818939
122.070312	-82.119209
123.046875	-82.171852
124.023438	-82.585075
125.000000	-84.235641
125.976562	-82.607132
126.953125	-80.602257
127.929688	-80.336235
128.906250	-80.468185
129.882812	-81.874046
130.859375	-80.781212
131.835938	-82.314613
132.812500	-82.868774
133.789062	-80.823616
134.765625	-80.688934
135.742188	-80.953865
136.718750	-80.033447
137.695312	-81.390976
138.671875	-81.932274
139.648438	-81.055832
140.625000	-81.419113
141.601562	-81.398857
142.578125	-79.391113
143.554688	-79.441574
144.531250	-80.170723
145.507812	-79.326996
146.484375	-79.790787
147.460938	-79.831940
148.437500	-80.242615
149.414062	-82.342133
150.390625	-81.645073
151.367188	-79.422005
152.343750	-80.256432
153.320312	-81.468025
154.296875	-80.978821
155.273438	-80.377258
156.250000	-80.608093
157.226562	-81.344963
158.203125	-81.613197
159.179688	-81.081520
160.156250	-79.815666
161.132812	-82.371765
162.109375	-83.397430
163.085938	-81.086113
164.062500	-80.404968
165.039062	-81.707535
166.015625	-80.940277
166.992188	-80.855087
167.968750	-81.364059
168.945312	-80.980751
169.921875	-81.860237
170.898438	-80.397682
171.875000	-80.360687
172.851562	-81.109367
173.828125	-80.281647
174.804688	-80.079872
175.781250	-80.682434
176.757812	-80.712746
177.734375	-81.224808
178.710938	-80.333809
179.687500	-79.728500
180.664062	-80.231621
181.640625	-79.074989
182.617188	-79.506615
183.593750	-79.607658
184.570312	-80.090828
185.546875	-79.801086
186.523438	-79.131683
187.500000	-79.885437
188.476562	-80.782753
189.453125	-79.292824
190.429688	-78.434502
191.406250	-78.309364
192.382812	-80.904182
193.359375	-80.791435
194.335938	-79.945503
195.312500	-79.132584
196.289062	-78.458870
197.265625	-79.579514
198.242188	-78.301712
199.218750	-77.969917
200.195312	-77.695450
201.171875	-78.698975
202.148438	-78.404556
203.125000	-79.516411
204.101562	-78.948494
205.078125	-78.454460
206.054688	-78.336189
207.031250	-78.822784
208.007812	-79.582451
208.984375	-79.767883
209.960938	-78.978714
210.937500	-78.781303
211.914062	-78.205833
212.890625	-78.220268
213.867188	-79.647728
214.843750	-79.470757
215.820312	-78.295715
216.796875	-78.497421
217.773438	-77.534378
218.750000	-77.127121
219.726562	-77.772888
220.703125	-79.199226
221.679688	-78.249924
222.656250	-78.324287
223.632812	-78.446426
224.609375	-77.554047
225.585938	-78.681183
226.562500	-77.360710
227.539062	-77.103111
228.515625	-78.914215
229.492188	-77.796898
230.468750	-76.648895
231.445312	-76.296707
232.421875	-76.273277
233.398438	-77.843117
234.375000	-78.258804
235.351562	-77.066765
236.328125	-76.781631
237.304688	-76.622337
238.281250	-77.594414
239.257812	-77.428345
240.234375	-76.973351
241.210938	-75.696663
242.187500	-75.399506
243.164062	-76.695801
244.140625	-76.778564
245.117188	-77.571770
246.093750	-77.823196
247.070312	-77.398323
248.046875	-76.268806
249.023438	-76.320168
250.000000	-76.624313
250.976562	-77.291298
251.953125	-75.451408
252.929688	-74.652641
253.906250	-74.710670
254.882812	-77.131416
255.859375	-77.530327
256.835938	-76.530434
257.812500	-76.043159
258.789062	-74.979553
259.765625	-75.600510
260.742188	-76.421928
261.718750	-76.134689
262.695312	-75.648727
263.671875	-75.450218
264.648438	-74.891479
265.625000	-76.477493
266.601562	-76.305923
267.578125	-74.402817
268.554688	-73.334389
269.531250	-74.057106
270.507812	-75.483673
271.484375	-75.744743
272.460938	-74.957306
273.437500	-75.366653
274.414062	-75.613876
275.390625	-75.571060
276.367188	-76.052231
277.343750	-75.046700
278.320312	-74.450272
279.296875	-74.273827
280.273438	-74.308090
281.250000	-74.441360
282.226562	-73.606697
283.203125	-74.383217
284.179688	-74.144730
285.156250	-75.148598
286.132812	-75.583977
287.109375	-73.568497
288.085938	-72.422188
289.062500	-71.514030
290.039062	-72.545197
291.015625	-73.317795
291.992188	-73.853416
292.968750	-73.312141
293.945312	-71.995972
294.921875	-72.264954
