Frequency (Hz)	Level (dB)
0.976562	-116.149971
1.953125	-111.264977
2.929688	-104.319031
3.906250	-100.646202
4.882812	-100.444160
5.859375	-96.485886
6.835938	-94.183815
7.812500	-95.899445
8.789062	-93.720352
9.765625	-91.453468
10.742188	-88.176208
11.718750	-87.016724
12.695312	-87.414017
13.671875	-87.304329
14.648438	-88.021812
15.625000	-88.044655
16.601562	-88.796944
17.578125	-89.175415
18.554688	-87.116165
19.531250	-87.256721
20.507812	-86.957214
21.484375	-85.007118
22.460938	-83.049149
23.437500	-82.142220
24.414062	-85.660507
25.390625	-86.501816
26.367188	-84.157471
27.343750	-83.136841
28.320312	-83.821358
29.296875	-83.444771
30.273438	-83.724937
31.250000	-85.214348
32.226562	-84.849556
33.203125	-84.779160
34.179688	-84.433952
35.156250	-83.262581
36.132812	-82.607780
37.109375	-83.203728
38.085938	-84.028275
39.062500	-83.088173
40.039062	-82.518852
41.015625	-81.869019
41.992188	-82.514549
42.968750	-84.297905
43.945312	-82.440643
44.921875	-83.298882
45.898438	-82.818352
46.875000	-81.941666
47.851562	-82.263077
48.828125	-82.330162
49.804688	-81.466919
50.781250	-81.349045
51.757812	-80.412537
52.734375	-81.031860
53.710938	-78.887016
54.687500	-77.987892
55.664062	-79.894028
56.640625	-80.264183
57.617188	-77.569969
58.593750	-77.415421
59.570312	-77.771347
60.546875	-76.807602
61.523438	-77.107765
62.500000	-76.904922
63.476562	-77.733284
64.453125	-80.031113
65.429688	-80.707901
66.406250	-80.865677
67.382812	-82.282982
68.359375	-82.457230
69.335938	-82.268921
70.312500	-79.636711
71.289062	-79.021469
72.265625	-81.160637
73.242188	-80.222794
74.218750	-78.984161
75.195312	-79.754211
76.171875	-80.301506
77.148438	-79.739365
78.125000	-81.316231
79.101562	-81.508476
80.078125	-80.729080
81.054688	-81.329918
82.031250	-81.958916
83.007812	-82.445190
83.984375	-80.080399
84.960938	-78.868904
85.937500	-78.874580
86.914062	-80.180717
87.890625	-81.926338
88.867188	-81.148560
89.843750	-79.723183
90.820312	-80.049210
91.796875	-81.217941
92.773438	-81.739174
93.750000	-80.979973
94.726562	-80.575256
95.703125	-79.815742
96.679688	-79.509323
97.656250	-80.843803
98.632812	-79.836838
99.609375	-80.286011
100.585938	-80.640694
101.562500	-79.871506
102.539062	-79.899002
103.515625	-80.661057
104.492188	-81.746750
105.468750	-82.012062
106.445312	-80.502930
107.421875	-80.112259
108.398438	-80.496338
109.375000	-82.650009
110.351562	-81.164810
111.328125	-79.734398
112.304688	-80.121735
113.281250	-80.282013
114.257812	-79.762161
115.234375	-79.068703
116.210938	-79.302536
117.187500	-78.370476
118.164062	-77.733078
119.140625	-77.028786
120.117188	-74.673752
121.093750	-76.409294
122.070312	-77.855637
123.046875	-79.900276
124.023438	-80.690346
125.000000	-82.218491
125.976562	-80.687531
126.953125	-78.680756
127.929688	-79.202538
128.906250	-79.559502
129.882812	-81.194977
130.859375	-80.514175
131.835938	-80.822174
132.812500	-81.175659
133.789062	-79.443352
134.765625	-79.252060
135.742188	-79.158813
136.718750	-79.506813
137.695312	-79.988686
138.671875	-81.310577
139.648438	-80.201744
140.625000	-80.627113
141.601562	-80.106430
142.578125	-79.051918
143.554688	-79.070114
144.531250	-79.396057
145.507812	-78.552055
146.484375	-78.867668
147.460938	-78.482582
148.437500	-78.841293
149.414062	-79.594543
150.390625	-78.467407
151.367188	-78.318069
152.343750	-79.258789
153.320312	-79.462700
154.296875	-78.352333
155.273438	-78.326790
156.250000	-79.650970
157.226562	-79.740334
158.203125	-78.633293
159.179688	-78.600143
160.156250	-78.058044
161.132812	-80.244087
162.109375	-80.878357
163.085938	-78.884964
164.062500	-78.243187
165.039062	-79.946098
166.015625	-79.514977
166.992188	-79.620041
167.968750	-80.381783
168.945312	-79.011269
169.921875	-79.354141
170.898438	-77.919197
171.875000	-77.884766
172.851562	-78.909592
173.828125	-78.301468
174.804688	-77.838425
175.781250	-78.230850
176.757812	-78.541336
177.734375	-80.047264
178.710938	-78.943787
179.687500	-78.349548
180.664062	-78.798332
181.640625	-76.808563
182.617188	-77.017059
183.593750	-76.901413
184.570312	-78.145630
185.546875	-78.365120
186.523438	-76.295555
187.500000	-77.926399
188.476562	-78.987885
189.453125	-77.598328
190.429688	-76.407570
191.406250	-76.063103
192.382812	-78.068314
193.359375	-77.876549
194.335938	-77.391212
195.312500	-77.559471
196.289062	-76.856247
197.265625	-76.766754
198.242188	-75.073921
199.218750	-74.683983
200.195312	-74.905037
201.171875	-76.348747
202.148438	-75.532372
203.125000	-76.844513
204.101562	-76.126595
205.078125	-75.367912
206.054688	-75.034554
207.031250	-76.093826
208.007812	-76.522522
208.984375	-76.756645
209.960938	-75.673691
210.937500	-75.549393
211.914062	-74.730316
212.890625	-74.864357
213.867188	-75.547501
214.843750	-75.166016
215.820312	-74.797043
216.796875	-74.901520
217.773438	-74.060776
218.750000	-73.772720
219.726562	-74.030266
220.703125	-75.126930
221.679688	-73.892151
222.656250	-74.109230
223.632812	-73.930649
224.609375	-73.660378
225.585938	-74.705742
226.562500	-73.726250
227.539062	-74.089111
228.515625	-75.009819
229.492188	-73.331192
230.468750	-72.591606
231.445312	-71.997520
232.421875	-71.648407
233.398438	-73.447136
234.375000	-73.752182
235.351562	-72.512436
236.328125	-71.548569
237.304688	-71.294296
238.281250	-71.955925
239.257812	-71.966156
240.234375	-71.315552
241.210938	-70.163452
242.187500	-69.986076
243.164062	-70.829758
244.140625	-70.804611
245.117188	-71.548958
246.093750	-71.910706
247.070312	-71.070206
248.046875	-69.669540
249.023438	-69.824829
250.000000	-70.283676
250.976562	-70.282700
251.953125	-68.485794
252.929688	-67.484512
253.906250	-67.591301
254.882812	-70.125610
255.859375	-69.993698
256.835938	-69.381203
257.812500	-68.485527
258.789062	-67.449852
259.765625	-68.053841
260.742188	-68.520905
261.718750	-68.658577
262.695312	-67.564186
263.671875	-67.003952
264.648438	-66.856041
265.625000	-67.801483
266.601562	-67.230911
267.578125	-65.544006
268.554688	-64.858345
269.531250	-65.107788
270.507812	-65.411491
271.484375	-64.675270
272.460938	-64.549156
273.437500	-65.224953
274.414062	-64.963387
275.390625	-64.623978
276.367188	-65.221001
277.343750	-63.807194
278.320312	-63.677109
279.296875	-63.436142
280.273438	-62.779545
281.250000	-62.340927
282.226562	-61.749630
283.203125	-62.278114
284.179688	-61.965389
285.156250	-62.881359
286.132812	-63.107002
287.109375	-60.653576
288.085938	-59.990429
289.062500	-59.101784
290.039062	-60.028191
291.015625	-60.720875
291.992188	-61.553200
292.968750	-60.870541
293.945312	-59.610271
294.921875	-60.188652
295.898438	-62.116070
296.875000	-60.705296
297.851562	-60.752445
298.828125	-61.126827
299.804688	-61.159035
300.781250	-60.260658
301.757812	-60.965614
302.734375	-61.821407
303.710938	-62.798176
304.687500	-62.508816
305.664062	-64.509674
306.640625	-63.634415
307.617188	-63.940613
308.593750	-64.878075
309.570312	-64.001160
310.546875	-64.876495
311.523438	-65.404121
312.500000	-66.044487
313.476562	-66.247292
314.453125	-65.123009
315.429688	-67.062920
316.406250	-68.520523
317.382812	-67.722832
318.359375	-66.380745
319.335938	-66.872620
320.312500	-66.881844
321.289062	-67.625290
322.265625	-69.138359
323.242188	-67.852432
324.218750	-67.152367
325.195312	-68.204117
326.171875	-68.695518
327.148438	-67.219543
328.125000	-68.446091
329.101562	-68.833916
330.078125	-68.156342
331.054688	-68.497627
332.031250	-68.345993
333.007812	-69.888824
333.984375	-70.895790
334.960938	-69.779251
335.937500	-69.689034
336.914062	-69.675682
337.890625	-69.097092
338.867188	-69.778336
339.843750	-71.424461
340.820312	-70.572960
341.796875	-70.541885
342.773438	-70.098007
343.750000	-70.745430
344.726562	-72.564941
345.703125	-71.468620
346.679688	-72.166618
347.656250	-71.421745
348.632812	-71.763199
349.609375	-71.383713
350.585938	-70.696342
351.562500	-70.604134
352.539062	-73.644630
353.515625	-72.009140
354.492188	-71.789505
355.468750	-73.189224
356.445312	-73.070023
357.421875	-71.021385
358.398438	-72.373451
359.375000	-73.493469
360.351562	-73.139954
361.328125	-72.111198
362.304688	-71.581444
363.281250	-72.321381
364.257812	-73.651184
365.234375	-73.029274
366.210938	-73.126144
367.187500	-72.899307
368.164062	-72.836609
369.140625	-72.596062
370.117188	-74.583817
371.093750	-73.840988
372.070312	-74.522743
373.046875	-73.759857
374.023438	-73.597527
375.000000	-73.142151
375.976562	-73.554230
376.953125	-73.196442
377.929688	-74.370674
378.906250	-74.548531
379.882812	-75.332779
380.859375	-74.777794
381.835938	-73.883171
382.812500	-76.039948
383.789062	-75.060585
384.765625	-73.365219
385.742188	-75.429955
386.718750	-74.735809
387.695312	-74.540703
388.671875	-75.910500
389.648438	-74.830383
390.625000	-75.139236
391.601562	-74.329781
392.578125	-73.774055
393.554688	-74.514641
394.531250	-74.121529
395.507812	-74.279190
396.484375	-74.306557
397.460938	-74.012451
398.437500	-75.630806
399.414062	-74.739845
400.390625	-73.973518
401.367188	-74.183418
402.343750	-75.002953
403.320312	-76.114746
404.296875	-75.438004
405.273438	-75.145584
406.250000	-73.709427
407.226562	-74.630417
408.203125	-74.972504
409.179688	-75.076736
410.156250	-75.295898
411.132812	-74.888908
412.109375	-74.384621
413.085938	-73.551483
414.062500	-73.062958
415.039062	-74.887352
416.015625	-75.993362
416.992188	-75.924141
417.968750	-75.662315
418.945312	-75.606956
419.921875	-75.998856
420.898438	-75.879311
421.875000	-75.218880
422.851562	-74.603828
423.828125	-74.439018
424.804688	-73.310600
425.781250	-74.077888
426.757812	-75.191711
427.734375	-74.449387
428.710938	-75.437561
429.687500	-75.724892
430.664062	-74.729965
431.640625	-73.847115
432.617188	-74.240692
433.593750	-75.769333
434.570312	-76.290237
435.546875	-75.684898
436.523438	-73.950096
437.500000	-74.070839
438.476562	-74.459274
439.453125	-74.471931
440.429688	-75.508430
441.406250	-76.103096
442.382812	-75.763222
443.359375	-75.252556
444.335938	-74.828102
445.312500	-75.212318
446.289062	-75.222603
447.265625	-75.421112
448.242188	-75.771164
449.218750	-76.442833
450.195312	-75.785904
451.171875	-76.344299
452.148438	-75.931618
453.125000	-74.717514
454.101562	-75.190094
455.078125	-75.638847
456.054688	-73.818764
457.031250	-73.499710
458.007812	-74.249100
458.984375	-75.151146
459.960938	-74.075401
460.937500	-74.142242
461.914062	-74.697212
462.890625	-74.091705
463.867188	-74.181244
464.843750	-74.254265
465.820312	-74.463112
466.796875	-73.757477
467.773438	-75.196594
468.750000	-73.174751
469.726562	-73.821022
470.703125	-73.968903
471.679688	-74.274719
472.656250	-75.327194
473.632812	-74.152153
474.609375	-73.421211
475.585938	-74.215065
476.562500	-74.606598
477.539062	-75.602364
478.515625	-75.706604
479.492188	-74.098900
480.468750	-74.086815
481.445312	-74.122627
482.421875	-74.368103
483.398438	-74.139992
484.375000	-74.264565
485.351562	-74.216507
486.328125	-74.166000
487.304688	-74.290016
488.281250	-73.750053
489.257812	-73.989975
490.234375	-72.534279
491.210938	-72.870461
492.187500	-73.025459
493.164062	-73.225853
494.140625	-72.327332
495.117188	-72.136871
496.093750	-72.020737
497.070312	-72.114449
498.046875	-73.463638
499.023438	-73.456993
500.000000	-73.968994
500.976562	-72.592941
501.953125	-72.492264
502.929688	-71.328979
503.906250	-71.942757
504.882812	-73.537270
505.859375	-72.352524
506.835938	-70.255661
507.812500	-71.637444
508.789062	-72.957779
509.765625	-72.722267
510.742188	-71.852448
511.718750	-71.340340
512.695312	-72.051720
513.671875	-72.435623
514.648438	-71.641411
515.625000	-71.548676
516.601562	-72.413437
517.578125	-70.774635
518.554688	-69.977173
519.531250	-70.602440
520.507812	-70.794601
521.484375	-69.541588
522.460938	-70.616776
523.437500	-70.627411
524.414062	-70.238731
525.390625	-68.850060
526.367188	-69.369644
527.343750	-70.810844
528.320312	-69.690620
529.296875	-68.764694
530.273438	-68.864380
531.250000	-68.671745
532.226562	-69.301971
533.203125	-69.449501
534.179688	-68.876442
535.156250	-67.530090
536.132812	-68.368919
537.109375	-68.137321
538.085938	-67.810951
539.062500	-68.640953
540.039062	-67.272217
541.015625	-66.857788
541.992188	-67.122299
542.968750	-67.972366
543.945312	-68.238792
544.921875	-67.825127
545.898438	-67.652504
546.875000	-66.573776
547.851562	-67.358978
548.828125	-66.355507
549.804688	-66.226723
550.781250	-67.265099
551.757812	-66.068703
552.734375	-64.024788
553.710938	-64.014763
554.687500	-64.287483
555.664062	-65.029350
556.640625	-64.171623
557.617188	-63.630085
558.593750	-65.024864
559.570312	-63.728683
560.546875	-63.573414
561.523438	-62.883137
562.500000	-62.368816
563.476562	-62.227886
564.453125	-62.762173
565.429688	-63.388702
566.406250	-63.358845
567.382812	-64.087624
568.359375	-63.582573
569.335938	-61.803165
570.312500	-60.684273
571.289062	-59.975975
572.265625	-59.289257
573.242188	-59.522518
574.218750	-61.108814
575.195312	-60.310101
576.171875	-61.212135
577.148438	-61.253498
578.125000	-59.674095
579.101562	-59.566101
580.078125	-59.944813
581.054688	-58.978321
582.031250	-56.799629
583.007812	-57.991203
583.984375	-60.268337
584.960938	-60.547707
585.937500	-60.603931
586.914062	-61.424103
587.890625	-60.882904
588.867188	-60.908863
589.843750	-59.825687
590.820312	-59.653172
591.796875	-60.016045
592.773438	-59.928883
593.750000	-61.128380
594.726562	-60.785267
595.703125	-60.645992
596.679688	-61.135681
597.656250	-61.287640
598.632812	-61.374737
599.609375	-63.907967
600.585938	-62.349487
601.562500	-62.109104
602.539062	-63.168137
603.515625	-62.946980
604.492188	-63.067493
605.468750	-64.297867
606.445312	-65.136391
607.421875	-63.941261
608.398438	-63.892231
609.375000	-64.670021
610.351562	-64.760132
611.328125	-64.269508
612.304688	-64.898056
613.281250	-65.719421
614.257812	-66.195160
615.234375	-65.891647
616.210938	-66.157501
617.187500	-67.049324
618.164062	-67.611252
619.140625	-65.884598
620.117188	-66.076187
621.093750	-67.245209
622.070312	-67.734772
623.046875	-67.161720
624.023438	-66.903114
625.000000	-67.250298
625.976562	-68.282249
626.953125	-67.583214
627.929688	-68.649796
628.906250	-67.834396
629.882812	-68.115051
630.859375	-69.157272
631.835938	-69.204155
632.812500	-69.904945
633.789062	-71.546005
634.765625	-70.639748
635.742188	-70.253159
636.718750	-71.060570
637.695312	-70.465584
638.671875	-68.883560
639.648438	-68.525520
640.625000	-69.905731
641.601562	-69.052841
642.578125	-68.362068
643.554688	-68.659790
644.531250	-70.529366
645.507812	-70.620293
646.484375	-71.328835
647.460938	-71.306618
648.437500	-71.421944
649.414062	-70.509415
650.390625	-72.977524
651.367188	-71.592476
652.343750	-69.305801
653.320312	-70.596535
654.296875	-70.839424
655.273438	-71.501602
656.250000	-71.370987
657.226562	-71.838509
658.203125	-70.864807
659.179688	-70.574051
660.156250	-71.625076
661.132812	-71.074448
662.109375	-72.160797
663.085938	-72.712601
664.062500	-71.913460
665.039062	-71.583496
666.015625	-71.851227
666.992188	-71.067009
667.968750	-70.995613
668.945312	-70.251472
669.921875	-71.157669
670.898438	-71.625824
671.875000	-70.805962
672.851562	-71.697601
673.828125	-71.828331
674.804688	-73.310555
675.781250	-73.510872
676.757812	-72.676361
677.734375	-72.564323
678.710938	-71.482521
679.687500	-72.214668
680.664062	-73.251907
681.640625	-72.436188
682.617188	-72.031776
683.593750	-72.290985
684.570312	-73.317078
685.546875	-71.957176
686.523438	-71.336060
687.500000	-72.568115
688.476562	-73.348793
689.453125	-73.035744
690.429688	-71.464394
691.406250	-72.944397
692.382812	-72.493622
693.359375	-73.148087
694.335938	-74.305191
695.312500	-73.324669
696.289062	-73.213608
697.265625	-72.987854
698.242188	-73.866356
699.218750	-72.905632
700.195312	-73.310371
701.171875	-73.216560
702.148438	-72.623016
703.125000	-73.040451
704.101562	-74.059418
705.078125	-74.135048
706.054688	-73.750526
707.031250	-74.338745
708.007812	-73.388100
708.984375	-73.426155
709.960938	-72.282433
710.937500	-71.566429
711.914062	-72.480698
712.890625	-73.306847
713.867188	-74.390274
714.843750	-75.483536
715.820312	-73.679527
716.796875	-74.074432
717.773438	-73.937286
718.750000	-73.634155
719.726562	-73.067444
720.703125	-73.258240
721.679688	-73.982185
722.656250	-74.204231
723.632812	-73.585869
724.609375	-73.180260
725.585938	-72.823647
726.562500	-72.649643
727.539062	-73.536140
728.515625	-74.324120
729.492188	-72.499458
730.468750	-72.191231
731.445312	-72.586487
732.421875	-74.266266
733.398438	-74.074951
734.375000	-73.454544
735.351562	-73.812401
736.328125	-73.736984
737.304688	-74.047783
738.281250	-73.031502
739.257812	-73.209137
740.234375	-73.327766
741.210938	-72.327492
742.187500	-73.552254
743.164062	-73.849533
744.140625	-71.970016
745.117188	-72.566925
746.093750	-74.253975
747.070312	-73.532936
748.046875	-73.488739
749.023438	-74.780914
750.000000	-74.005058
750.976562	-74.897781
751.953125	-74.108360
752.929688	-74.142570
753.906250	-73.167870
754.882812	-73.013870
755.859375	-73.889076
756.835938	-72.370247
757.812500	-73.085373
758.789062	-74.136169
759.765625	-72.695107
760.742188	-72.469910
761.718750	-72.835243
762.695312	-73.458725
763.671875	-71.757919
764.648438	-71.142258
765.625000	-71.766869
766.601562	-71.982361
767.578125	-72.274696
768.554688	-72.488617
769.531250	-71.099815
770.507812	-70.981194
771.484375	-71.949539
772.460938	-72.253235
773.437500	-71.457397
774.414062	-71.824776
775.390625	-72.702766
776.367188	-72.481819
777.343750	-71.028244
778.320312	-73.223137
779.296875	-71.620430
780.273438	-72.269104
781.250000	-73.399094
782.226562	-72.979874
783.203125	-71.707809
784.179688	-71.443504
785.156250	-71.521172
786.132812	-71.419319
787.109375	-72.018639
788.085938	-71.214676
789.062500	-69.582268
790.039062	-68.410439
791.015625	-69.585823
791.992188	-71.388878
792.968750	-70.411880
793.945312	-70.610710
794.921875	-69.341339
795.898438	-70.375389
796.875000	-70.199577
797.851562	-69.805687
798.828125	-69.907501
799.804688	-69.632744
800.781250	-68.488251
801.757812	-68.952042
802.734375	-68.926186
803.710938	-68.482735
804.687500	-69.075790
805.664062	-70.316772
806.640625	-70.407982
807.617188	-70.145660
808.593750	-69.578903
809.570312	-68.270386
810.546875	-69.006409
811.523438	-68.671333
812.500000	-69.331673
813.476562	-68.640091
814.453125	-69.223640
815.429688	-68.778618
816.406250	-66.756058
817.382812	-67.722260
818.359375	-69.092300
819.335938	-69.242821
820.312500	-68.766724
821.289062	-68.283005
822.265625	-68.994072
823.242188	-68.486633
824.218750	-68.287552
825.195312	-67.508957
826.171875	-67.529922
827.148438	-67.942596
828.125000	-67.144112
829.101562	-66.950821
830.078125	-67.638176
831.054688	-67.570435
832.031250	-65.534012
833.007812	-65.875153
833.984375	-66.649490
834.960938	-66.158447
835.937500	-66.331451
836.914062	-65.909470
837.890625	-65.595436
838.867188	-65.937080
839.843750	-65.031937
840.820312	-65.568901
841.796875	-65.582489
842.773438	-65.760361
843.750000	-65.643356
844.726562	-64.100868
845.703125	-63.372665
846.679688	-63.941341
847.656250	-63.343433
848.632812	-62.536274
849.609375	-62.823803
850.585938	-62.925922
851.562500	-63.296135
852.539062	-63.207394
853.515625	-63.430214
854.492188	-63.177219
855.468750	-63.822628
856.445312	-61.995029
857.421875	-61.721153
858.398438	-60.114468
859.375000	-60.799511
860.351562	-60.926342
861.328125	-59.751007
862.304688	-59.210087
863.281250	-59.533569
864.257812	-58.624771
865.234375	-58.932762
866.210938	-58.254734
867.187500	-57.752861
868.164062	-57.227394
869.140625	-58.368427
870.117188	-57.501553
871.093750	-57.803299
872.070312	-56.593987
