Frequency (Hz)	Level (dB)
0.976562	-90.449127
1.953125	-96.446396
2.929688	-96.022400
3.906250	-94.368896
4.882812	-94.505035
5.859375	-95.448204
6.835938	-93.656189
7.812500	-93.899681
8.789062	-92.336624
9.765625	-90.294212
10.742188	-88.477036
11.718750	-88.107536
12.695312	-87.865532
13.671875	-87.848305
14.648438	-88.664009
15.625000	-87.762802
16.601562	-87.379181
17.578125	-86.519547
18.554688	-85.312050
19.531250	-86.117401
20.507812	-87.434006
21.484375	-86.667648
22.460938	-85.589218
23.437500	-85.169113
24.414062	-85.328964
25.390625	-85.532257
26.367188	-84.185661
27.343750	-83.565590
28.320312	-83.628220
29.296875	-83.975815
30.273438	-83.927032
31.250000	-85.037811
32.226562	-83.280319
33.203125	-83.099274
34.179688	-84.749763
35.156250	-85.447952
36.132812	-84.722115
37.109375	-83.399216
38.085938	-83.491333
39.062500	-84.074821
40.039062	-83.791382
41.015625	-84.799675
41.992188	-85.714783
42.968750	-83.218842
43.945312	-82.753792
44.921875	-82.569885
45.898438	-81.406868
46.875000	-83.162804
47.851562	-82.249268
48.828125	-81.017685
49.804688	-81.098061
50.781250	-80.884369
51.757812	-80.081123
52.734375	-80.496300
53.710938	-80.429276
54.687500	-79.023926
55.664062	-78.551941
56.640625	-79.213829
57.617188	-79.288315
58.593750	-77.962280
59.570312	-77.655739
60.546875	-77.326675
61.523438	-77.829468
62.500000	-77.737679
63.476562	-76.730583
64.453125	-78.628487
65.429688	-78.761887
66.406250	-79.022438
67.382812	-80.391632
68.359375	-79.477150
69.335938	-78.906685
70.312500	-78.371056
71.289062	-77.880585
72.265625	-79.141083
73.242188	-79.118378
74.218750	-77.952126
75.195312	-78.669853
76.171875	-79.075546
77.148438	-78.428421
78.125000	-78.671745
79.101562	-78.779243
80.078125	-78.445564
81.054688	-78.630112
82.031250	-78.353355
83.007812	-78.413292
83.984375	-78.001030
84.960938	-78.025742
85.937500	-79.488037
86.914062	-79.561653
87.890625	-78.239853
88.867188	-78.048195
89.843750	-76.852432
90.820312	-77.743851
91.796875	-77.874649
92.773438	-76.120430
93.750000	-76.895027
94.726562	-77.351280
95.703125	-76.726349
96.679688	-76.964813
97.656250	-76.927330
98.632812	-75.533340
99.609375	-76.449257
100.585938	-78.063438
101.562500	-77.055794
102.539062	-76.994789
103.515625	-77.053734
104.492188	-77.050438
105.468750	-76.426910
106.445312	-77.093864
107.421875	-76.168404
108.398438	-76.487740
109.375000	-76.435822
110.351562	-75.495010
111.328125	-74.536720
112.304688	-74.197365
113.281250	-73.907219
114.257812	-74.080856
115.234375	-75.197151
116.210938	-72.946037
117.187500	-71.229408
118.164062	-69.236145
119.140625	-64.790421
120.117188	-61.096912
121.093750	-64.309624
122.070312	-67.692169
123.046875	-72.668480
124.023438	-73.659042
125.000000	-75.504517
125.976562	-74.174545
126.953125	-72.407997
127.929688	-72.010315
128.906250	-72.421303
129.882812	-73.183685
130.859375	-71.698296
131.835938	-72.342674
132.812500	-72.005447
133.789062	-70.949928
134.765625	-70.994362
135.742188	-70.923325
136.718750	-70.555534
137.695312	-71.185249
138.671875	-71.376511
139.648438	-69.645554
140.625000	-69.295052
141.601562	-68.793976
142.578125	-67.325172
143.554688	-67.279716
144.531250	-66.713020
145.507812	-65.949318
146.484375	-67.005554
147.460938	-67.061302
148.437500	-66.918030
149.414062	-67.494911
150.390625	-65.442802
151.367188	-64.371437
152.343750	-65.206184
153.320312	-65.369583
154.296875	-64.669441
155.273438	-63.240662
156.250000	-63.777435
157.226562	-64.573700
158.203125	-64.772141
159.179688	-63.191544
160.156250	-61.404430
161.132812	-63.446262
162.109375	-64.280830
163.085938	-63.594795
164.062500	-62.847733
165.039062	-63.239716
166.015625	-61.427574
166.992188	-62.032719
167.968750	-62.590538
168.945312	-61.310402
169.921875	-61.468895
170.898438	-60.237679
171.875000	-59.809780
172.851562	-61.517750
173.828125	-61.427822
174.804688	-60.991447
175.781250	-61.907990
176.757812	-62.246231
177.734375	-63.307480
178.710938	-62.489742
179.687500	-63.133450
180.664062	-64.104446
181.640625	-62.579853
182.617188	-63.026508
183.593750	-63.212730
184.570312	-64.860680
185.546875	-64.811928
186.523438	-63.375523
187.500000	-64.535286
188.476562	-66.933075
189.453125	-65.737381
190.429688	-64.958763
191.406250	-65.073471
192.382812	-67.537384
193.359375	-67.612640
194.335938	-67.105576
195.312500	-67.045807
196.289062	-66.983620
