Frequency (Hz)	Level (dB)
3.906250	-74.554344
7.812500	-69.177681
11.718750	-64.784172
15.625000	-62.320965
19.531250	-61.183865
23.437500	-60.716515
27.343750	-60.717121
31.250000	-60.910320
35.156250	-61.530800
39.062500	-62.112743
42.968750	-62.570427
46.875000	-63.083580
50.781250	-63.219368
54.687500	-63.776993
58.593750	-63.320541
62.500000	-64.102554
66.406250	-63.937740
70.312500	-63.659264
74.218750	-63.167675
78.125000	-62.982121
82.031250	-63.169319
85.937500	-63.293621
89.843750	-61.236229
93.750000	-61.376297
97.656250	-61.314499
101.562500	-60.746258
105.468750	-60.507404
109.375000	-60.068863
113.281250	-59.228725
117.187500	-57.458027
121.093750	-53.871738
125.000000	-57.684937
128.906250	-57.220276
132.812500	-57.332958
136.718750	-56.266827
140.625000	-55.516777
144.531250	-55.926079
148.437500	-57.064331
152.343750	-58.315186
156.250000	-59.856869
160.156250	-60.764359
164.062500	-61.941658
167.968750	-63.037235
171.875000	-64.365944
175.781250	-65.642311
179.687500	-65.070076
183.593750	-65.887665
187.500000	-67.019981
191.406250	-66.831909
195.312500	-67.329468
199.218750	-67.772499
203.125000	-67.812363
207.031250	-68.092476
210.937500	-67.709641
214.843750	-67.736115
218.750000	-67.528992
222.656250	-68.033928
226.562500	-67.546883
230.468750	-67.091003
234.375000	-66.569328
238.281250	-66.831551
242.187500	-65.710350
246.093750	-65.111725
250.000000	-64.385384
253.906250	-62.436218
257.812500	-62.358536
261.718750	-61.001381
265.625000	-59.047195
269.531250	-57.337406
273.437500	-55.814709
277.343750	-54.343483
281.250000	-54.393173
285.156250	-54.082668
289.062500	-56.010944
292.968750	-57.142502
296.875000	-57.585720
300.781250	-58.201725
304.687500	-58.958385
308.593750	-60.142277
312.500000	-62.122017
316.406250	-63.450329
320.312500	-65.412491
324.218750	-66.095177
328.125000	-66.808304
332.031250	-66.478951
335.937500	-67.378349
339.843750	-67.748604
343.750000	-67.536110
347.656250	-68.080032
351.562500	-67.459480
355.468750	-67.229134
359.375000	-68.387947
363.281250	-67.371841
367.187500	-67.407227
371.093750	-66.180817
375.000000	-65.745094
378.906250	-65.069908
382.812500	-65.130714
386.718750	-64.059921
390.625000	-63.363380
394.531250	-62.843128
398.437500	-61.548187
402.343750	-59.656433
406.250000	-58.448730
410.156250	-56.977486
414.062500	-55.518417
417.968750	-54.990650
421.875000	-55.517815
425.781250	-56.650017
429.687500	-58.733364
433.593750	-60.094383
437.500000	-60.983105
441.406250	-62.844814
445.312500	-63.360867
449.218750	-64.002174
453.125000	-65.485405
457.031250	-65.699570
460.937500	-65.677887
464.843750	-66.381287
468.750000	-66.240082
472.656250	-66.691978
476.562500	-67.371414
480.468750	-67.279320
484.375000	-66.981033
488.281250	-67.071533
492.187500	-66.952286
496.093750	-66.883041
500.000000	-66.964180
503.906250	-66.984070
507.812500	-65.758263
511.718750	-65.718002
515.625000	-64.974052
519.531250	-64.503006
523.437500	-64.065582
527.343750	-63.307068
531.250000	-61.567589
535.156250	-60.061653
539.062500	-58.528728
542.968750	-56.696400
546.875000	-55.087543
550.781250	-53.498173
554.687500	-52.304859
558.593750	-53.143501
562.500000	-54.003857
566.406250	-55.896931
570.312500	-57.433834
574.218750	-59.092396
578.125000	-60.366585
582.031250	-61.546898
585.937500	-63.123302
589.843750	-63.446087
593.750000	-64.129128
597.656250	-64.004860
601.562500	-65.305161
605.468750	-65.986580
609.375000	-66.325340
613.281250	-66.840958
617.187500	-66.703926
621.093750	-66.603828
625.000000	-66.812531
628.906250	-66.889236
632.812500	-66.495163
636.718750	-66.300064
640.625000	-66.109184
644.531250	-65.614197
648.437500	-65.239204
652.343750	-64.798256
656.250000	-64.344887
660.156250	-63.869808
664.062500	-62.363617
667.968750	-61.969360
671.875000	-60.242695
675.781250	-59.471092
679.687500	-57.008961
683.593750	-54.210220
687.500000	-52.351410
691.406250	-52.013206
695.312500	-52.748341
699.218750	-53.437832
703.125000	-54.761860
707.031250	-57.570679
710.937500	-59.245163
714.843750	-59.828033
718.750000	-61.261925
722.656250	-62.437069
726.562500	-62.433346
730.468750	-63.549641
734.375000	-63.603203
738.281250	-63.641319
742.187500	-64.388489
746.093750	-64.971611
750.000000	-65.166039
753.906250	-65.579224
757.812500	-65.694878
761.718750	-65.959183
765.625000	-65.607452
769.531250	-65.573090
773.437500	-65.647438
777.343750	-65.099136
781.250000	-65.760323
785.156250	-64.431503
789.062500	-63.990925
792.968750	-63.128933
796.875000	-62.261536
800.781250	-61.547775
804.687500	-60.505413
808.593750	-59.036301
812.500000	-57.703625
816.406250	-55.563919
820.312500	-53.445152
824.218750	-52.283409
828.125000	-52.217133
832.031250	-53.093857
835.937500	-54.181038
839.843750	-55.709354
843.750000	-55.963337
847.656250	-58.250523
851.562500	-59.731342
855.468750	-60.838177
859.375000	-62.029736
863.281250	-62.748276
867.187500	-63.116882
871.093750	-63.617447
875.000000	-64.228874
878.906250	-64.962143
882.812500	-64.420990
886.718750	-64.928818
890.625000	-65.010109
894.531250	-65.619034
898.437500	-65.395523
902.343750	-64.645981
906.250000	-64.923927
910.156250	-64.574585
914.062500	-64.356056
917.968750	-63.916538
921.875000	-63.553391
925.781250	-63.410023
929.687500	-62.811272
933.593750	-61.630611
937.500000	-60.852673
941.406250	-59.559151
945.312500	-58.998520
949.218750	-57.204620
953.125000	-55.221088
957.031250	-53.025726
960.937500	-51.028881
964.843750	-49.172680
968.750000	-50.268803
972.656250	-50.400532
976.562500	-51.930897
980.468750	-53.767204
984.375000	-56.167511
988.281250	-57.830704
992.187500	-59.275593
996.093750	-60.501545
1000.000000	-60.666519
1003.906250	-61.040955
1007.812500	-62.368534
1011.718750	-63.414860
1015.625000	-63.233337
1019.531250	-63.236370
1023.437500	-64.227364
1027.343750	-64.217293
1031.250000	-64.434158
1035.156250	-64.240417
1039.062500	-64.477356
1042.968750	-63.832249
1046.875000	-63.048141
1050.781250	-63.190170
1054.687500	-63.149136
1058.593750	-62.893463
1062.500000	-62.445587
1066.406250	-61.864635
1070.312500	-60.288353
1074.218750	-59.304413
1078.125000	-59.016953
1082.031250	-58.146980
1085.937500	-55.802353
1089.843750	-54.733490
1093.750000	-51.874298
1097.656250	-49.276756
1101.562500	-47.271862
1105.468750	-48.476357
1109.375000	-49.269455
1113.281250	-50.654938
1117.187500	-50.977276
1121.093750	-52.138580
1125.000000	-53.988396
1128.906250	-55.373695
1132.812500	-57.438416
1136.718750	-58.371029
1140.625000	-59.251129
1144.531250	-59.815289
1148.437500	-60.939850
1152.343750	-60.809422
1156.250000	-61.875896
1160.156250	-62.196911
1164.062500	-63.062641
1167.968750	-63.051437
1171.875000	-63.372311
1175.781250	-63.256607
1179.687500	-63.460609
1183.593750	-62.601532
1187.500000	-62.528374
1191.406250	-61.929256
1195.312500	-61.424896
1199.218750	-61.410965
1203.125000	-60.173595
1207.031250	-59.746925
1210.937500	-59.141636
1214.843750	-58.152676
1218.750000	-56.443211
1222.656250	-55.445877
1226.562500	-53.670380
1230.468750	-50.678394
1234.375000	-49.106113
1238.281250	-47.427311
1242.187500	-47.590965
1246.093750	-48.156918
1250.000000	-49.248009
1253.906250	-49.774837
1257.812500	-51.034737
1261.718750	-54.271297
1265.625000	-55.509491
1269.531250	-56.656326
1273.437500	-57.543549
1277.343750	-58.495808
1281.250000	-59.791725
1285.156250	-60.067657
1289.062500	-60.319820
1292.968750	-60.765339
1296.875000	-60.671932
1300.781250	-61.266563
1304.687500	-61.583557
1308.593750	-61.264912
1312.500000	-61.117432
1316.406250	-60.643124
1320.312500	-60.678078
1324.218750	-61.020832
1328.125000	-60.451397
1332.031250	-59.585464
1335.937500	-59.230663
1339.843750	-59.005596
1343.750000	-58.174587
1347.656250	-56.413860
1351.562500	-56.413338
1355.468750	-54.799404
1359.375000	-52.772369
1363.281250	-51.507458
1367.187500	-48.638725
1371.093750	-46.464664
1375.000000	-44.768703
1378.906250	-45.236832
1382.812500	-46.191074
1386.718750	-47.124756
1390.625000	-47.498299
1394.531250	-48.008717
1398.437500	-50.239365
1402.343750	-51.900715
1406.250000	-53.953541
1410.156250	-55.386883
1414.062500	-55.725990
1417.968750	-56.669403
1421.875000	-57.820213
1425.781250	-57.345936
1429.687500	-57.949253
1433.593750	-58.653385
1437.500000	-59.241764
1441.406250	-58.625023
1445.312500	-59.041866
1449.218750	-58.943012
1453.125000	-59.099590
1457.031250	-58.650249
1460.937500	-58.472797
1464.843750	-57.607220
1468.750000	-56.911041
1472.656250	-57.059517
1476.562500	-55.939438
1480.468750	-55.616135
1484.375000	-55.005291
1488.281250	-53.683960
1492.187500	-52.396866
1496.093750	-51.202644
1500.000000	-49.103596
1503.906250	-46.913067
1507.812500	-44.683289
1511.718750	-42.993267
