Frequency (Hz)	Level (dB)
1.953125	-102.961220
3.906250	-96.586075
5.859375	-92.087044
7.812500	-90.086884
9.765625	-85.853882
11.718750	-82.362152
13.671875	-82.241005
15.625000	-81.875168
17.578125	-80.958893
19.531250	-79.678123
21.484375	-78.235374
23.437500	-77.930603
25.390625	-78.493027
27.343750	-77.577736
29.296875	-77.186440
31.250000	-78.181366
33.203125	-78.650856
35.156250	-77.055550
37.109375	-77.336945
39.062500	-78.775993
41.015625	-77.971298
42.968750	-77.583000
44.921875	-77.202705
46.875000	-77.365891
48.828125	-76.628540
50.781250	-75.750084
52.734375	-76.039536
54.687500	-74.378853
56.640625	-73.225731
58.593750	-73.142731
60.546875	-73.274117
62.500000	-72.008400
64.453125	-74.238487
66.406250	-78.142593
68.359375	-77.655708
70.312500	-76.500557
72.265625	-76.089706
74.218750	-76.205742
76.171875	-76.725266
78.125000	-77.278603
80.078125	-78.840462
82.031250	-79.436455
83.984375	-77.651024
85.937500	-77.049408
87.890625	-77.909897
89.843750	-77.659729
91.796875	-77.808510
93.750000	-78.774460
95.703125	-78.924454
97.656250	-79.409561
99.609375	-79.288750
101.562500	-79.100845
103.515625	-78.472389
105.468750	-79.225838
107.421875	-79.566711
109.375000	-78.555710
111.328125	-78.501480
113.281250	-76.688820
115.234375	-76.776482
117.187500	-76.827866
119.140625	-74.061996
121.093750	-73.588318
123.046875	-77.476128
125.000000	-79.158348
126.953125	-79.547859
128.906250	-79.151474
130.859375	-79.091263
132.812500	-78.615540
134.765625	-78.680405
136.718750	-79.461105
138.671875	-78.924438
140.625000	-78.181755
142.578125	-78.298645
144.531250	-77.630127
146.484375	-76.803802
148.437500	-76.556786
150.390625	-76.562180
152.343750	-77.293495
154.296875	-77.259834
156.250000	-77.468697
158.203125	-77.166389
160.156250	-77.077621
162.109375	-76.687088
164.062500	-77.433800
166.015625	-77.398933
167.968750	-77.963264
169.921875	-78.253479
171.875000	-78.083504
173.828125	-78.134583
175.781250	-77.767990
177.734375	-77.240578
179.687500	-77.153679
181.640625	-77.424416
183.593750	-77.408569
185.546875	-77.546707
187.500000	-77.803955
189.453125	-76.982231
191.406250	-76.418953
193.359375	-76.104942
195.312500	-75.928879
197.265625	-76.636536
199.218750	-76.103653
201.171875	-75.518242
203.125000	-74.984756
205.078125	-75.507622
207.031250	-75.340424
208.984375	-75.448654
210.937500	-74.766258
212.890625	-73.940742
214.843750	-74.250214
216.796875	-73.569832
218.750000	-74.166893
220.703125	-73.896034
222.656250	-73.762566
224.609375	-73.456589
226.562500	-73.914330
228.515625	-74.072083
230.468750	-72.977936
232.421875	-72.130432
234.375000	-72.034531
236.328125	-72.624054
238.281250	-72.227676
240.234375	-67.440231
242.187500	-65.634605
244.140625	-69.685387
246.093750	-70.655144
248.046875	-70.119896
250.000000	-69.234398
251.953125	-68.933441
253.906250	-68.225624
255.859375	-67.413986
257.812500	-67.909691
259.765625	-67.854683
261.718750	-67.117912
263.671875	-66.548119
265.625000	-65.521515
267.578125	-64.761581
269.531250	-64.652664
271.484375	-63.814541
273.437500	-63.613277
275.390625	-62.741302
277.343750	-62.196133
279.296875	-62.702045
281.250000	-61.899197
283.203125	-61.411079
285.156250	-60.654972
287.109375	-60.454472
289.062500	-60.538338
291.015625	-60.507984
292.968750	-60.844112
294.921875	-61.479603
296.875000	-62.475033
298.828125	-63.272121
300.781250	-63.768471
302.734375	-63.838741
304.687500	-64.627098
306.640625	-64.780670
308.593750	-65.123497
310.546875	-65.515167
312.500000	-66.293602
314.453125	-66.081352
316.406250	-66.691673
318.359375	-67.772301
320.312500	-68.450623
322.265625	-68.976921
324.218750	-68.894714
326.171875	-69.671341
328.125000	-69.518585
330.078125	-69.056931
332.031250	-69.740845
333.984375	-70.099068
335.937500	-70.296661
337.890625	-70.624046
339.843750	-71.286736
341.796875	-71.356483
343.750000	-70.930229
345.703125	-71.836006
347.656250	-72.013763
349.609375	-72.417648
351.562500	-71.650337
353.515625	-71.283394
355.468750	-72.017090
357.421875	-73.286308
359.375000	-73.155861
361.328125	-73.236443
363.281250	-73.014603
365.234375	-74.044327
367.187500	-74.170547
369.140625	-73.806526
371.093750	-73.690376
373.046875	-73.516655
375.000000	-73.681190
376.953125	-74.328568
378.906250	-74.361534
380.859375	-74.260834
382.812500	-74.192314
384.765625	-74.599426
386.718750	-75.166298
388.671875	-74.822807
390.625000	-74.757721
392.578125	-75.555573
394.531250	-74.972168
396.484375	-74.679787
398.437500	-75.147949
400.390625	-75.056282
402.343750	-74.739822
404.296875	-74.806328
406.250000	-75.770111
408.203125	-75.527855
410.156250	-75.622948
412.109375	-75.556282
414.062500	-75.836067
416.015625	-75.306015
417.968750	-75.461395
419.921875	-75.649178
421.875000	-75.266449
423.828125	-74.807503
425.781250	-74.896584
427.734375	-75.554840
429.687500	-75.370102
431.640625	-74.615181
433.593750	-75.256027
435.546875	-75.082848
437.500000	-74.482079
439.453125	-75.393234
441.406250	-75.450050
443.359375	-75.304787
445.312500	-74.824173
447.265625	-74.732056
449.218750	-74.591629
451.171875	-75.223099
453.125000	-75.662148
455.078125	-74.697662
457.031250	-74.878296
458.984375	-74.427094
460.937500	-74.030182
462.890625	-74.375359
464.843750	-74.598244
466.796875	-74.046036
468.750000	-73.581589
470.703125	-73.658737
472.656250	-74.356133
474.609375	-74.698074
476.562500	-74.362465
478.515625	-74.055748
480.468750	-73.946800
482.421875	-73.669716
484.375000	-73.342209
486.328125	-73.525688
488.281250	-73.259010
490.234375	-72.780266
492.187500	-73.054001
494.140625	-72.577003
496.093750	-72.645271
498.046875	-72.967064
500.000000	-72.806709
501.953125	-72.029259
503.906250	-72.583298
505.859375	-71.639420
507.812500	-71.050507
509.765625	-71.294724
511.718750	-71.004929
513.671875	-71.235260
515.625000	-70.242516
517.578125	-70.498474
519.531250	-70.423431
521.484375	-70.220039
523.437500	-70.216469
525.390625	-70.003212
527.343750	-69.658897
529.296875	-69.015854
531.250000	-68.320374
533.203125	-67.772621
535.156250	-67.693733
537.109375	-67.484093
539.062500	-67.305061
541.015625	-66.370056
542.968750	-65.900215
544.921875	-65.950684
546.875000	-65.279938
548.828125	-64.924255
550.781250	-64.746384
552.734375	-63.353054
554.687500	-62.548470
556.640625	-62.018642
558.593750	-61.738377
560.546875	-62.018414
562.500000	-61.352459
564.453125	-60.202515
566.406250	-60.490845
568.359375	-59.874218
570.312500	-59.455872
572.265625	-59.396679
574.218750	-59.782875
576.171875	-59.706600
578.125000	-59.593941
580.078125	-60.033070
582.031250	-60.149643
583.984375	-61.072102
585.937500	-61.670967
587.890625	-61.605339
589.843750	-61.958187
591.796875	-62.811939
593.750000	-63.383324
595.703125	-64.213264
597.656250	-64.231056
599.609375	-64.473175
601.562500	-65.252174
603.515625	-66.015755
605.468750	-66.391647
607.421875	-66.712158
609.375000	-67.310883
611.328125	-67.383385
613.281250	-67.761665
615.234375	-67.827950
617.187500	-68.168785
619.140625	-68.390450
621.093750	-68.354156
623.046875	-69.231415
625.000000	-69.014572
626.953125	-68.953842
628.906250	-69.746063
630.859375	-70.293327
632.812500	-69.816154
634.765625	-70.273445
636.718750	-70.434189
638.671875	-70.338799
640.625000	-70.849548
642.578125	-70.733696
644.531250	-70.275681
646.484375	-70.720856
648.437500	-71.098038
650.390625	-71.129471
652.343750	-71.137825
654.296875	-71.427292
656.250000	-71.866684
658.203125	-72.126495
660.156250	-72.449898
662.109375	-72.321144
664.062500	-71.835960
666.015625	-72.414429
667.968750	-72.903946
669.921875	-73.146393
671.875000	-72.963310
673.828125	-73.075821
675.781250	-73.779564
677.734375	-73.837883
679.687500	-73.479401
681.640625	-72.397125
683.593750	-72.599228
685.546875	-72.526978
687.500000	-73.249161
689.453125	-73.595299
691.406250	-74.111801
693.359375	-73.806664
695.312500	-74.180565
697.265625	-73.746468
699.218750	-73.930969
701.171875	-73.470932
703.125000	-73.186722
705.078125	-73.212891
707.031250	-73.636627
708.984375	-74.065254
710.937500	-73.561668
712.890625	-73.334412
714.843750	-73.175804
716.796875	-73.294991
718.750000	-73.804802
720.703125	-73.739075
722.656250	-73.981438
724.609375	-73.418983
726.562500	-73.160492
728.515625	-73.474388
730.468750	-73.405418
732.421875	-73.733788
734.375000	-73.406754
736.328125	-73.341614
738.281250	-72.988457
740.234375	-72.946541
742.187500	-72.894188
744.140625	-72.798187
746.093750	-72.922523
748.046875	-73.141403
750.000000	-73.244003
751.953125	-72.948532
753.906250	-72.954666
755.859375	-72.934151
757.812500	-72.848145
759.765625	-72.282356
761.718750	-72.321289
763.671875	-72.218277
765.625000	-72.347626
767.578125	-72.033928
769.531250	-71.589661
771.484375	-72.050575
773.437500	-72.109802
775.390625	-71.394363
777.343750	-71.468208
779.296875	-71.619980
781.250000	-72.116127
783.203125	-71.331108
785.156250	-70.533630
787.109375	-70.164268
789.062500	-70.485886
791.015625	-70.498436
792.968750	-69.485451
794.921875	-69.674835
796.875000	-69.334435
798.828125	-68.631981
800.781250	-69.083054
802.734375	-68.802155
804.687500	-68.848969
806.640625	-68.765663
808.593750	-67.991737
810.546875	-67.776230
812.500000	-67.529694
814.453125	-67.001030
816.406250	-66.903748
818.359375	-66.840576
820.312500	-66.377029
822.265625	-66.176132
824.218750	-65.704544
826.171875	-65.186104
828.125000	-64.887077
830.078125	-64.635818
832.031250	-64.490395
833.984375	-64.371643
835.937500	-63.704216
837.890625	-63.249973
839.843750	-63.096355
841.796875	-62.353291
843.750000	-61.343380
845.703125	-61.048306
847.656250	-60.146084
849.609375	-59.416386
851.562500	-59.340065
853.515625	-58.733616
855.468750	-57.888760
857.421875	-57.500359
859.375000	-57.550808
861.328125	-57.422173
863.281250	-57.399250
865.234375	-57.633324
867.187500	-57.619488
869.140625	-57.339039
871.093750	-57.559132
873.046875	-58.017559
875.000000	-58.749664
876.953125	-59.632172
878.906250	-60.767395
880.859375	-60.336857
882.812500	-60.631706
884.765625	-61.737312
886.718750	-61.907856
888.671875	-61.961105
890.625000	-63.016582
892.578125	-64.481888
894.531250	-64.564667
896.484375	-64.935883
898.437500	-64.958015
900.390625	-64.642845
902.343750	-65.143806
904.296875	-65.975014
906.250000	-65.472214
908.203125	-66.383400
910.156250	-67.059380
912.109375	-66.522278
914.062500	-66.998360
916.015625	-67.227905
917.968750	-67.138885
919.921875	-67.959389
921.875000	-67.844315
923.828125	-68.118576
925.781250	-68.139168
927.734375	-68.784943
929.687500	-68.589508
931.640625	-68.462425
933.593750	-68.874672
935.546875	-69.016174
937.500000	-69.441032
939.453125	-69.398178
941.406250	-69.265533
943.359375	-70.302521
945.312500	-70.412033
947.265625	-70.104202
949.218750	-69.964890
951.171875	-70.461296
953.125000	-70.314095
955.078125	-70.388618
957.031250	-70.586594
958.984375	-70.871109
960.937500	-71.376190
962.890625	-70.842064
964.843750	-70.834106
966.796875	-71.753365
968.750000	-72.232651
970.703125	-71.329407
972.656250	-70.976868
974.609375	-71.012115
976.562500	-71.282661
978.515625	-70.901115
980.468750	-71.050163
982.421875	-71.723061
984.375000	-71.986374
986.328125	-71.334312
988.281250	-71.779709
990.234375	-72.228653
992.187500	-71.792191
994.140625	-71.864090
996.093750	-72.272079
998.046875	-72.102150
1000.000000	-71.519897
1001.953125	-70.652893
1003.906250	-71.129929
1005.859375	-71.094978
1007.812500	-71.437691
1009.765625	-71.905968
1011.718750	-72.356216
1013.671875	-72.154861
1015.625000	-71.082420
1017.578125	-71.103523
1019.531250	-71.055214
1021.484375	-71.353737
1023.437500	-71.720497
1025.390625	-71.130196
1027.343750	-71.158600
1029.296875	-71.720581
1031.250000	-71.804146
1033.203125	-71.724823
1035.156250	-71.195816
1037.109375	-71.230820
1039.062500	-71.386040
1041.015625	-71.083023
1042.968750	-70.764153
1044.921875	-69.672470
1046.875000	-69.640930
1048.828125	-70.115974
1050.781250	-70.142517
1052.734375	-70.542007
1054.687500	-69.873573
1056.640625	-69.878136
1058.593750	-69.942871
1060.546875	-69.273949
1062.500000	-69.595383
1064.453125	-69.983223
1066.406250	-69.536301
1068.359375	-68.639946
1070.312500	-68.011490
1072.265625	-68.100250
1074.218750	-67.830536
1076.171875	-68.367485
1078.125000	-68.386711
1080.078125	-68.043236
1082.031250	-67.917099
1083.984375	-67.352219
1085.937500	-67.246101
1087.890625	-66.965416
1089.843750	-67.842316
1091.796875	-66.907722
1093.750000	-66.243004
1095.703125	-65.645149
1097.656250	-65.827850
1099.609375	-65.004471
1101.562500	-64.555183
1103.515625	-64.465569
1105.468750	-64.699165
1107.421875	-64.033630
1109.375000	-63.796459
1111.328125	-63.814674
1113.281250	-63.424377
1115.234375	-62.338947
1117.187500	-62.100140
1119.140625	-61.044521
1121.093750	-60.403431
1123.046875	-59.863331
1125.000000	-59.229778
1126.953125	-59.555927
1128.906250	-59.001404
1130.859375	-57.900734
1132.812500	-57.409584
1134.765625	-57.633133
1136.718750	-56.742741
1138.671875	-56.245327
1140.625000	-56.181000
1142.578125	-55.876617
1144.531250	-55.692211
1146.484375	-55.891411
1148.437500	-55.401421
1150.390625	-55.665012
1152.343750	-55.422344
1154.296875	-56.041714
1156.250000	-57.259136
1158.203125	-57.803913
1160.156250	-58.148701
1162.109375	-59.433781
1164.062500	-59.669666
1166.015625	-60.055042
1167.968750	-60.079670
1169.921875	-60.631969
1171.875000	-61.381241
1173.828125	-62.136429
1175.781250	-62.487907
1177.734375	-62.931053
1179.687500	-63.462070
1181.640625	-63.521786
1183.593750	-63.795681
1185.546875	-64.371086
1187.500000	-64.623993
1189.453125	-64.670128
1191.406250	-64.688065
1193.359375	-64.874397
1195.312500	-65.772430
1197.265625	-66.932617
1199.218750	-66.740723
1201.171875	-66.544662
1203.125000	-66.225243
1205.078125	-66.595238
1207.031250	-67.354332
1208.984375	-67.171463
1210.937500	-67.656738
1212.890625	-67.893471
1214.843750	-68.269165
1216.796875	-67.939758
1218.750000	-67.978340
1220.703125	-68.683159
1222.656250	-68.888100
1224.609375	-69.022125
1226.562500	-69.112602
1228.515625	-68.965675
1230.468750	-68.777390
1232.421875	-69.422981
1234.375000	-70.071182
1236.328125	-69.722061
1238.281250	-69.044640
1240.234375	-68.953857
1242.187500	-69.210312
1244.140625	-69.575005
1246.093750	-69.101326
1248.046875	-69.137123
1250.000000	-69.457230
1251.953125	-69.428078
1253.906250	-69.418465
1255.859375	-69.950439
1257.812500	-69.974701
1259.765625	-70.597176
1261.718750	-70.439156
1263.671875	-69.937508
1265.625000	-70.313156
1267.578125	-70.540779
1269.531250	-69.972672
1271.484375	-70.313942
1273.437500	-70.379105
1275.390625	-70.540047
1277.343750	-70.559547
1279.296875	-70.692841
1281.250000	-70.843132
1283.203125	-70.743980
1285.156250	-70.300591
1287.109375	-70.924110
1289.062500	-70.291901
1291.015625	-70.282227
1292.968750	-70.526352
1294.921875	-70.480675
1296.875000	-70.325768
1298.828125	-70.256668
1300.781250	-70.440849
1302.734375	-70.946571
1304.687500	-70.947365
1306.640625	-70.341667
1308.593750	-70.385857
1310.546875	-70.035927
1312.500000	-69.985626
1314.453125	-69.592041
1316.406250	-69.671867
1318.359375	-69.655991
1320.312500	-69.999031
1322.265625	-70.126396
1324.218750	-70.498131
1326.171875	-70.549652
1328.125000	-69.762512
1330.078125	-69.046043
1332.031250	-69.192123
1333.984375	-70.048157
1335.937500	-69.192085
1337.890625	-69.039818
1339.843750	-69.343307
1341.796875	-69.132668
1343.750000	-69.149269
1345.703125	-68.961617
1347.656250	-67.771484
1349.609375	-68.139702
1351.562500	-68.730064
1353.515625	-67.760094
1355.468750	-67.643768
1357.421875	-67.434036
1359.375000	-66.606377
1361.328125	-67.087708
1363.281250	-67.046822
1365.234375	-66.636574
1367.187500	-66.848259
1369.140625	-66.882797
1371.093750	-66.487190
1373.046875	-66.217140
1375.000000	-65.781715
1376.953125	-65.404793
1378.906250	-65.756660
1380.859375	-65.172112
1382.812500	-64.902184
1384.765625	-64.599197
1386.718750	-63.987911
1388.671875	-63.515244
1390.625000	-63.147488
1392.578125	-62.889767
1394.531250	-62.834431
1396.484375	-62.256378
1398.437500	-62.079353
1400.390625	-62.094650
1402.343750	-61.167133
1404.296875	-60.733730
1406.250000	-60.608215
1408.203125	-59.545685
1410.156250	-59.600117
1412.109375	-58.799171
1414.062500	-57.999222
1416.015625	-57.582878
1417.968750	-56.986507
1419.921875	-56.467121
1421.875000	-56.794239
1423.828125	-55.809765
1425.781250	-54.183033
1427.734375	-53.884239
1429.687500	-53.838226
1431.640625	-53.432686
1433.593750	-53.548367
1435.546875	-54.208633
1437.500000	-53.882320
1439.453125	-53.506954
1441.406250	-54.046120
1443.359375	-54.744537
1445.312500	-55.588898
1447.265625	-56.004566
1449.218750	-56.209087
1451.171875	-57.062946
1453.125000	-57.862915
1455.078125	-57.917835
1457.031250	-58.501549
1458.984375	-59.542503
1460.937500	-59.923084
1462.890625	-60.163502
1464.843750	-60.399826
1466.796875	-59.773464
1468.750000	-60.274487
1470.703125	-61.151451
1472.656250	-62.150871
1474.609375	-62.210472
1476.562500	-61.930458
1478.515625	-62.527149
1480.468750	-63.518890
1482.421875	-63.866199
1484.375000	-63.768841
1486.328125	-63.687069
1488.281250	-64.414330
1490.234375	-65.060211
1492.187500	-64.347313
1494.140625	-64.568794
1496.093750	-65.291290
1498.046875	-65.591568
1500.000000	-65.763115
1501.953125	-65.464165
1503.906250	-65.793007
1505.859375	-66.190674
1507.812500	-66.464516
1509.765625	-66.711113
1511.718750	-66.548714
1513.671875	-65.925583
1515.625000	-67.049217
1517.578125	-66.698845
1519.531250	-66.874725
1521.484375	-66.878265
1523.437500	-67.183022
1525.390625	-67.809364
1527.343750	-67.653290
1529.296875	-66.895332
1531.250000	-67.779510
1533.203125	-67.958733
1535.156250	-67.805634
1537.109375	-67.716141
1539.062500	-68.466888
1541.015625	-68.731895
1542.968750	-68.036057
1544.921875	-68.066544
1546.875000	-67.713814
1548.828125	-68.409065
1550.781250	-68.895302
1552.734375	-68.047585
1554.687500	-68.280006
1556.640625	-68.115524
1558.593750	-67.953979
1560.546875	-68.406456
1562.500000	-68.371071
1564.453125	-68.292068
1566.406250	-68.240555
1568.359375	-69.008522
1570.312500	-69.071571
1572.265625	-68.657455
1574.218750	-68.745247
1576.171875	-68.478798
1578.125000	-68.368843
1580.078125	-68.458427
1582.031250	-68.469818
1583.984375	-68.315445
1585.937500	-67.901299
1587.890625	-67.116150
1589.843750	-67.755394
1591.796875	-68.251938
1593.750000	-67.817726
1595.703125	-68.142670
1597.656250	-67.886520
1599.609375	-68.090729
1601.562500	-67.942047
1603.515625	-67.569733
1605.468750	-66.989311
1607.421875	-67.743240
1609.375000	-68.009056
1611.328125	-68.108498
1613.281250	-67.949715
1615.234375	-67.544388
1617.187500	-67.459160
1619.140625	-66.741943
1621.093750	-67.109657
1623.046875	-66.982254
1625.000000	-66.283157
1626.953125	-66.474335
1628.906250	-66.814354
1630.859375	-66.678993
1632.812500	-66.407433
1634.765625	-66.637985
1636.718750	-66.211464
1638.671875	-65.622818
1640.625000	-65.539932
1642.578125	-65.296326
1644.531250	-65.043549
1646.484375	-65.631493
1648.437500	-65.258476
1650.390625	-65.373817
1652.343750	-64.477654
1654.296875	-64.137276
1656.250000	-64.100151
1658.203125	-63.714695
1660.156250	-63.804962
1662.109375	-63.259480
1664.062500	-63.348724
1666.015625	-62.879810
1667.968750	-62.793766
1669.921875	-62.440186
1671.875000	-62.216476
1673.828125	-62.343815
1675.781250	-62.024944
1677.734375	-61.155754
1679.687500	-60.815590
1681.640625	-60.983513
1683.593750	-60.142029
1685.546875	-60.346439
1687.500000	-59.923512
1689.453125	-59.386787
1691.406250	-58.695759
1693.359375	-58.222160
1695.312500	-58.293827
1697.265625	-57.367474
1699.218750	-56.266014
1701.171875	-56.959713
1703.125000	-56.115871
1705.078125	-54.999390
1707.031250	-54.299545
1708.984375	-53.947094
1710.937500	-53.475101
1712.890625	-53.365562
1714.843750	-52.372429
1716.796875	-52.233257
1718.750000	-52.081181
1720.703125	-51.890308
1722.656250	-52.052761
1724.609375	-51.860313
1726.562500	-52.108589
1728.515625	-52.454388
1730.468750	-53.235981
1732.421875	-53.217613
1734.375000	-53.815418
1736.328125	-53.673050
1738.281250	-54.979839
1740.234375	-55.758858
1742.187500	-55.984226
1744.140625	-56.267498
1746.093750	-56.914642
1748.046875	-57.866310
1750.000000	-57.496254
1751.953125	-57.315193
1753.906250	-58.105816
1755.859375	-58.837788
1757.812500	-59.495571
1759.765625	-59.950985
1761.718750	-60.474113
1763.671875	-60.471149
1765.625000	-60.497555
1767.578125	-60.843342
1769.531250	-60.908939
1771.484375	-61.910824
1773.437500	-62.199268
1775.390625	-62.688957
1777.343750	-62.666245
1779.296875	-62.480061
1781.250000	-62.770927
1783.203125	-62.638557
1785.156250	-63.061646
1787.109375	-63.065060
1789.062500	-63.010216
1791.015625	-63.446442
1792.968750	-64.251343
1794.921875	-63.662857
1796.875000	-63.575607
1798.828125	-63.777817
1800.781250	-63.620834
1802.734375	-64.680588
1804.687500	-65.154732
1806.640625	-64.875618
1808.593750	-64.713173
1810.546875	-65.517418
1812.500000	-65.322182
1814.453125	-64.718628
1816.406250	-64.992897
1818.359375	-65.883102
1820.312500	-65.471848
1822.265625	-65.382652
1824.218750	-65.954941
1826.171875	-65.628723
1828.125000	-65.336250
1830.078125	-65.537682
1832.031250	-65.395767
1833.984375	-65.638718
1835.937500	-65.608650
1837.890625	-66.629738
1839.843750	-66.164749
1841.796875	-65.729233
1843.750000	-65.579079
1845.703125	-65.752266
1847.656250	-66.390419
1849.609375	-67.226044
1851.562500	-66.576897
1853.515625	-66.516579
1855.468750	-66.035172
1857.421875	-65.246216
1859.375000	-65.015038
1861.328125	-66.126534
1863.281250	-66.109688
1865.234375	-65.782196
1867.187500	-66.319771
1869.140625	-66.974754
1871.093750	-66.785019
1873.046875	-65.985695
1875.000000	-65.733292
1876.953125	-66.022522
1878.906250	-66.157166
1880.859375	-66.412743
1882.812500	-66.130775
