Frequency (Hz)	Level (dB)
0.976562	-41.023544
1.953125	-40.813011
2.929688	-42.078915
3.906250	-41.571960
4.882812	-40.379017
5.859375	-41.019028
6.835938	-41.793976
7.812500	-42.423042
8.789062	-41.502663
9.765625	-40.362843
10.742188	-40.854370
11.718750	-41.151764
12.695312	-40.193081
13.671875	-40.928444
14.648438	-43.426384
15.625000	-42.154472
16.601562	-42.371723
17.578125	-42.383400
18.554688	-40.581581
19.531250	-41.053661
20.507812	-41.037556
21.484375	-41.136868
22.460938	-41.536789
23.437500	-41.449150
24.414062	-41.666954
25.390625	-40.942562
26.367188	-41.204132
27.343750	-40.846478
28.320312	-40.173759
29.296875	-41.240681
30.273438	-41.796799
31.250000	-40.983807
32.226562	-41.140537
33.203125	-41.449890
34.179688	-41.278023
35.156250	-41.757961
36.132812	-41.718143
37.109375	-40.855942
38.085938	-41.775711
39.062500	-40.963207
40.039062	-41.404163
41.015625	-42.173115
41.992188	-42.114952
42.968750	-41.264980
43.945312	-40.485077
44.921875	-40.007336
45.898438	-40.949745
46.875000	-41.508110
47.851562	-41.343136
48.828125	-41.129234
49.804688	-41.199608
50.781250	-40.748901
51.757812	-40.507904
52.734375	-39.882458
53.710938	-39.430664
54.687500	-39.625874
55.664062	-39.319092
56.640625	-40.688770
57.617188	-41.991539
58.593750	-41.586914
59.570312	-42.233681
60.546875	-41.608192
61.523438	-41.442516
62.500000	-40.845840
63.476562	-39.772835
64.453125	-39.026592
65.429688	-38.884205
66.406250	-39.752827
67.382812	-40.287292
68.359375	-40.230236
69.335938	-39.989182
70.312500	-40.182198
71.289062	-39.459454
72.265625	-40.637608
73.242188	-41.151394
74.218750	-40.823231
75.195312	-42.023884
76.171875	-41.695278
77.148438	-40.302856
78.125000	-41.581394
79.101562	-40.957981
80.078125	-39.403572
81.054688	-40.091862
82.031250	-41.285805
83.007812	-42.344246
83.984375	-40.447212
84.960938	-39.476986
85.937500	-40.329060
86.914062	-41.849312
87.890625	-40.869465
88.867188	-41.061901
89.843750	-39.964840
90.820312	-40.210514
91.796875	-41.538914
92.773438	-40.874641
93.750000	-41.653599
94.726562	-40.742908
95.703125	-39.510517
96.679688	-39.770226
97.656250	-40.258247
98.632812	-39.644165
99.609375	-39.767910
100.585938	-40.313030
101.562500	-40.199028
102.539062	-40.286617
103.515625	-41.360538
104.492188	-41.420422
105.468750	-42.040077
106.445312	-41.654465
107.421875	-41.128571
108.398438	-40.449093
109.375000	-41.578831
110.351562	-41.051407
111.328125	-39.884987
112.304688	-40.318100
113.281250	-41.506401
114.257812	-42.743465
115.234375	-41.026211
116.210938	-39.476501
117.187500	-39.712601
118.164062	-40.142967
119.140625	-41.475533
120.117188	-42.482883
121.093750	-41.810940
122.070312	-41.334190
123.046875	-40.645039
124.023438	-41.347862
125.000000	-42.652870
125.976562	-42.286190
126.953125	-40.012650
127.929688	-40.218990
128.906250	-41.081680
129.882812	-41.937023
130.859375	-41.517467
131.835938	-42.035496
132.812500	-41.531952
133.789062	-40.514198
134.765625	-40.283985
135.742188	-40.758797
136.718750	-40.617828
137.695312	-41.000942
138.671875	-41.503525
139.648438	-41.100494
140.625000	-41.202232
141.601562	-41.012684
142.578125	-39.926353
143.554688	-40.406788
144.531250	-40.278774
145.507812	-39.998276
146.484375	-40.519821
147.460938	-40.246464
148.437500	-40.768066
149.414062	-42.015121
150.390625	-42.022804
151.367188	-40.730385
152.343750	-40.040340
153.320312	-40.202492
154.296875	-40.669304
155.273438	-40.601860
156.250000	-41.884537
157.226562	-43.189301
158.203125	-42.179962
159.179688	-41.321297
160.156250	-40.752903
161.132812	-43.864437
162.109375	-44.452919
163.085938	-42.199886
164.062500	-41.299229
165.039062	-43.046104
166.015625	-41.710014
166.992188	-42.177338
167.968750	-43.319962
168.945312	-41.618267
169.921875	-41.344086
170.898438	-40.912582
171.875000	-40.550758
172.851562	-41.666435
173.828125	-41.427025
174.804688	-41.114372
175.781250	-41.547752
176.757812	-41.930786
177.734375	-43.685406
178.710938	-42.146152
179.687500	-41.788242
180.664062	-42.417618
181.640625	-40.256092
182.617188	-40.181370
183.593750	-40.450146
184.570312	-42.460056
185.546875	-41.196270
186.523438	-39.656219
187.500000	-40.599354
188.476562	-42.895111
189.453125	-41.198071
190.429688	-40.368355
191.406250	-40.421520
192.382812	-42.699116
193.359375	-42.324665
194.335938	-41.783279
195.312500	-41.668701
196.289062	-41.035294
197.265625	-41.293655
198.242188	-40.287193
199.218750	-39.912224
200.195312	-39.962200
201.171875	-41.146996
202.148438	-40.224422
203.125000	-41.098022
204.101562	-40.604221
205.078125	-40.196907
206.054688	-40.345154
207.031250	-41.280376
208.007812	-41.975201
208.984375	-42.166187
209.960938	-42.064461
210.937500	-41.694664
211.914062	-40.608486
212.890625	-40.508255
213.867188	-41.700428
214.843750	-41.924210
215.820312	-41.372944
216.796875	-41.325977
217.773438	-40.229507
218.750000	-40.136612
219.726562	-41.016106
220.703125	-42.068214
221.679688	-41.175289
222.656250	-40.878590
223.632812	-41.560112
224.609375	-40.898872
225.585938	-42.168571
226.562500	-40.143486
227.539062	-39.728493
228.515625	-41.826756
229.492188	-41.140018
230.468750	-40.692497
231.445312	-40.523708
232.421875	-39.802654
233.398438	-41.165173
234.375000	-41.911785
235.351562	-40.379898
236.328125	-39.955414
237.304688	-40.276951
238.281250	-41.354809
239.257812	-41.049091
240.234375	-41.690907
241.210938	-40.762039
242.187500	-39.725338
243.164062	-40.581272
244.140625	-41.281635
245.117188	-41.649151
246.093750	-42.352119
247.070312	-41.259705
248.046875	-40.138538
249.023438	-40.375103
250.000000	-41.409866
250.976562	-41.022194
251.953125	-39.781990
252.929688	-39.443317
253.906250	-39.187447
254.882812	-40.890400
255.859375	-41.640518
256.835938	-41.941437
257.812500	-41.519794
258.789062	-40.404438
259.765625	-41.030056
260.742188	-41.935085
261.718750	-41.404343
262.695312	-40.657196
263.671875	-40.317089
264.648438	-40.359383
265.625000	-41.887466
266.601562	-41.350613
267.578125	-40.720997
268.554688	-39.784187
269.531250	-40.265507
270.507812	-41.377243
271.484375	-41.911453
272.460938	-40.868271
273.437500	-41.713177
274.414062	-41.748455
275.390625	-41.224651
276.367188	-42.713200
277.343750	-41.700287
278.320312	-41.292721
279.296875	-41.115280
280.273438	-41.487385
281.250000	-41.210869
282.226562	-40.793308
283.203125	-41.592529
284.179688	-41.580906
285.156250	-42.656105
286.132812	-42.975525
287.109375	-40.935356
288.085938	-40.196701
289.062500	-39.127605
290.039062	-40.390499
291.015625	-41.632362
291.992188	-42.392559
292.968750	-41.836727
293.945312	-40.002193
294.921875	-40.857311
295.898438	-42.816742
296.875000	-41.132782
297.851562	-41.076694
298.828125	-40.755394
299.804688	-40.614399
300.781250	-39.401924
301.757812	-40.380219
302.734375	-41.167751
303.710938	-41.378025
304.687500	-40.464542
305.664062	-42.149029
306.640625	-40.702602
307.617188	-41.128162
308.593750	-41.839420
309.570312	-41.017193
310.546875	-41.887547
311.523438	-42.646694
312.500000	-41.752544
313.476562	-41.335495
314.453125	-40.412064
315.429688	-41.918282
316.406250	-42.881981
317.382812	-41.849129
318.359375	-41.489792
319.335938	-41.248978
320.312500	-39.876141
321.289062	-39.908764
322.265625	-41.694786
323.242188	-40.827328
324.218750	-40.357471
325.195312	-41.444992
326.171875	-40.966099
327.148438	-39.953239
328.125000	-41.199287
329.101562	-41.855148
330.078125	-40.663094
331.054688	-40.631489
332.031250	-40.806232
333.007812	-41.685551
333.984375	-42.676216
334.960938	-41.674946
335.937500	-41.383812
336.914062	-41.314075
337.890625	-40.549393
338.867188	-41.184879
339.843750	-42.514019
340.820312	-41.735455
341.796875	-41.043022
342.773438	-40.549397
343.750000	-41.319515
344.726562	-42.940086
345.703125	-41.765079
346.679688	-41.382099
347.656250	-40.818195
348.632812	-41.034359
349.609375	-40.482487
350.585938	-39.699837
351.562500	-40.184021
352.539062	-42.712269
353.515625	-41.284824
354.492188	-40.550030
355.468750	-41.871258
356.445312	-41.723385
357.421875	-39.580494
358.398438	-40.258076
359.375000	-41.832943
360.351562	-41.222435
361.328125	-40.510159
362.304688	-40.429802
363.281250	-40.803917
364.257812	-41.710560
365.234375	-41.234238
366.210938	-41.322365
367.187500	-41.134579
368.164062	-40.803619
369.140625	-40.699646
370.117188	-41.986031
371.093750	-41.682430
372.070312	-42.091705
373.046875	-41.185497
374.023438	-41.234303
375.000000	-40.577202
375.976562	-41.225170
376.953125	-41.213455
377.929688	-42.128704
378.906250	-42.126328
379.882812	-41.641491
380.859375	-41.547894
381.835938	-40.885677
382.812500	-42.538349
383.789062	-42.222603
384.765625	-40.344086
385.742188	-41.947300
386.718750	-41.873962
387.695312	-41.610584
388.671875	-42.527813
389.648438	-41.266758
390.625000	-41.552433
391.601562	-41.202106
